attempt_index,series_id,game_number,game_attempt,status,termination_reason,hands_played,winner,total_auto_action_count,total_error_count,total_cost_micros,notes
5,qf_b,1,1,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
6,qf_b,1,2,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
7,qf_b,1,3,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
8,qf_b,1,4,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
9,qf_b,1,5,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
10,qf_b,1,6,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
11,qf_b,1,7,aborted,aborted_dirty_auto_action,1,hermes,1,1,696,dirty_auto_action
12,qf_b,1,8,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
13,qf_b,1,9,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
14,qf_b,1,10,aborted,aborted_dirty_auto_action,1,hermes,1,1,720,dirty_auto_action
15,qf_b,1,11,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
16,qf_b,1,12,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
17,qf_b,1,13,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
18,qf_b,1,14,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
19,qf_b,1,15,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
20,qf_b,1,16,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
21,qf_b,1,17,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
22,qf_b,1,18,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
23,qf_b,1,19,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
24,qf_b,1,20,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
25,qf_b,1,21,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
26,qf_b,1,22,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
27,qf_b,1,23,aborted,aborted_dirty_auto_action,1,hermes,1,1,874,dirty_auto_action
28,qf_b,1,24,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
29,qf_b,1,25,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
30,qf_b,1,26,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
31,qf_b,1,27,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
32,qf_b,1,28,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
33,qf_b,1,29,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
34,qf_b,1,30,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
35,qf_b,1,31,aborted,aborted_dirty_auto_action,1,hermes,1,1,697,dirty_auto_action
36,qf_b,1,32,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
37,qf_b,1,33,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
38,qf_b,1,34,aborted,aborted_dirty_auto_action,1,hermes,1,1,696,dirty_auto_action
39,qf_b,1,35,aborted,aborted_dirty_auto_action,1,hermes,1,1,696,dirty_auto_action
40,qf_b,1,36,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
41,qf_b,1,37,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
42,qf_b,1,38,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
43,qf_b,1,39,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
44,qf_b,1,40,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
45,qf_b,1,41,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
46,qf_b,1,42,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
47,qf_b,1,43,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
48,qf_b,1,44,aborted,aborted_dirty_auto_action,1,hermes,1,1,692,dirty_auto_action
49,qf_b,1,45,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
50,qf_b,1,46,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
51,qf_b,1,47,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
52,qf_b,1,48,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
53,qf_b,1,49,aborted,aborted_dirty_auto_action,1,hermes,1,1,692,dirty_auto_action
54,qf_b,1,50,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
55,qf_b,1,51,aborted,aborted_dirty_auto_action,1,hermes,1,1,696,dirty_auto_action
56,qf_b,1,52,aborted,aborted_dirty_auto_action,1,hermes,1,1,876,dirty_auto_action
57,qf_b,1,53,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
58,qf_b,1,54,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
59,qf_b,1,55,aborted,aborted_dirty_auto_action,1,hermes,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
60,qf_b,1,56,aborted,aborted_dirty_auto_action,0,tie,1,1,0,dirty_auto_action;zero_observed_cost_budget_safety_debit
65,qf_b,5,1,aborted,aborted_dirty_auto_action,56,hermes,1,1,252444,dirty_auto_action
66,qf_b,5,2,aborted,aborted_dirty_auto_action,60,openclaw,1,1,275664,dirty_auto_action
67,qf_b,5,3,aborted,aborted_dirty_auto_action,11,openclaw,1,1,69664,dirty_auto_action
82,sf_a,1,1,aborted,aborted_dirty_auto_action,19,hermes,1,1,122267,dirty_auto_action
84,sf_a,2,1,aborted,aborted_dirty_auto_action,28,hermes,2,1,276807,dirty_auto_action
85,sf_a,2,2,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
86,sf_a,2,3,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
87,sf_a,2,4,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
88,sf_a,2,5,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
89,sf_a,2,6,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
90,sf_a,2,7,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
91,sf_a,2,8,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
92,sf_a,2,9,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
93,sf_a,2,10,aborted,aborted_dirty_auto_action,0,openclaw,1,1,21392,dirty_auto_action
94,sf_a,2,11,aborted,aborted_dirty_auto_action,48,hermes,2,1,481953,dirty_auto_action
95,sf_a,2,12,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
96,sf_a,2,13,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
97,sf_a,2,14,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
98,sf_a,2,15,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
99,sf_a,2,16,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
100,sf_a,2,17,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
101,sf_a,2,18,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
102,sf_a,2,19,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
103,sf_a,2,20,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
104,sf_a,2,21,aborted,aborted_match_command_failed,0,tie,0,0,0,match_command_returncode=1;zero_observed_cost_budget_safety_debit
105,sf_a,2,22,aborted,aborted_dirty_auto_action,60,openclaw,1,1,588538,dirty_auto_action
107,sf_a,3,1,aborted,aborted_dirty_auto_action,5,hermes,1,1,34940,dirty_auto_action
108,sf_a,3,2,aborted,aborted_dirty_auto_action,20,hermes,1,1,178102,dirty_auto_action
109,sf_a,3,3,aborted,aborted_dirty_auto_action,45,hermes,1,1,403036,dirty_auto_action
112,sf_a,5,1,aborted,aborted_dirty_auto_action,31,hermes,1,1,310681,dirty_auto_action
114,sf_a,6,1,aborted,aborted_dirty_auto_action,23,hermes,1,1,215608,dirty_auto_action
124,finals,3,1,aborted,aborted_dirty_auto_action,0,openclaw,1,1,13598,dirty_auto_action
