settlement_id,match_id,hand_id,agent_name,limit_before_micros,limit_delta_micros,limit_after_micros,reason,status,timestamp,hand_number
01KRBV0SXBDEDP6RQKE0JD6XHJ,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV0JVMWRX2MR9R50JGKKGX,hermes,5000000,-100000,4900000,hand_loss,confirmed,2026-05-11T15:38:17.387774+00:00,1
01KRBV0SXDRM5B1BQHM93DVBQS,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV0JVMWRX2MR9R50JGKKGX,openclaw,5000000,100000,5100000,hand_win,confirmed,2026-05-11T15:38:17.389286+00:00,1
01KRBV1QFVFQG87NQAPS144CR9,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV0WN5FJWMHP5ND68G3F72,hermes,4900000,250000,5150000,hand_win,confirmed,2026-05-11T15:38:47.676008+00:00,2
01KRBV1QFTCH1YPJBYJRNGJ0RA,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV0WN5FJWMHP5ND68G3F72,openclaw,5100000,-250000,4850000,hand_loss,confirmed,2026-05-11T15:38:47.675024+00:00,2
01KRBV2525CKAHF536JSZQ16KY,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV1T3B6V91CXJCZYQJ1T9B,hermes,5150000,-100000,5050000,hand_loss,confirmed,2026-05-11T15:39:01.573332+00:00,3
01KRBV2526VS1M58M0DCWN7156,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV1T3B6V91CXJCZYQJ1T9B,openclaw,4850000,100000,4950000,hand_win,confirmed,2026-05-11T15:39:01.574093+00:00,3
01KRBV2CCCKFRKJJ030VHPBM3S,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV27NAFQ1YA53DY6T3SG9Q,hermes,5050000,-50000,5000000,hand_loss,confirmed,2026-05-11T15:39:09.068144+00:00,4
01KRBV2CCAKS0QRRCK5SJ99TMV,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV27NAFQ1YA53DY6T3SG9Q,openclaw,4950000,50000,5000000,hand_win,confirmed,2026-05-11T15:39:09.066746+00:00,4
01KRBV2XRS9E1JNDE2Y7B2KDXS,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV2EZ5GMENJFEKXWBFAHF7,hermes,5000000,-200000,4800000,hand_loss,confirmed,2026-05-11T15:39:26.873412+00:00,5
01KRBV2XRTAK9CTA6DRMWYXM6P,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV2EZ5GMENJFEKXWBFAHF7,openclaw,5000000,200000,5200000,hand_win,confirmed,2026-05-11T15:39:26.874093+00:00,5
01KRBV33ZCVE7GHWJ60NYCZT94,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV30EKWPP1ZDG692EPPERF,hermes,4800000,-50000,4750000,hand_loss,confirmed,2026-05-11T15:39:33.228650+00:00,6
01KRBV33ZB399D5WYRPSENYE7N,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV30EKWPP1ZDG692EPPERF,openclaw,5200000,50000,5250000,hand_win,confirmed,2026-05-11T15:39:33.227681+00:00,6
01KRBV3XQRY0CDTBC04JJEYWZN,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV36KR0XEFF6Y4KAVEM0BK,hermes,4750000,-200000,4550000,hand_loss,confirmed,2026-05-11T15:39:59.608478+00:00,7
01KRBV3XQR8KEFQQJR9NCGKJMF,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV36KR0XEFF6Y4KAVEM0BK,openclaw,5250000,200000,5450000,hand_win,confirmed,2026-05-11T15:39:59.608876+00:00,7
01KRBV462AN6B4F0BNPDZ7CYXP,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV40CW9SDM3EJY1S9RWGCX,hermes,4550000,-50000,4500000,hand_loss,confirmed,2026-05-11T15:40:08.138200+00:00,8
01KRBV4629C9C9D6C5H3TZBJGG,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV40CW9SDM3EJY1S9RWGCX,openclaw,5450000,50000,5500000,hand_win,confirmed,2026-05-11T15:40:08.137718+00:00,8
01KRBV58KAA6RFDMR1NHTXJ6CX,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV48N6CX4CX29K9FDNMJVS,hermes,4500000,4463924,8963924,hand_win,confirmed,2026-05-11T15:40:43.498698+00:00,9
01KRBV58KBWQJVYRYYS80EWHBK,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV48N6CX4CX29K9FDNMJVS,openclaw,5500000,-4463924,1036076,hand_loss,confirmed,2026-05-11T15:40:43.499641+00:00,9
01KRBV5F9VS9QKJ6XS28N38XG4,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV5B5Z3AG5V306DYBRXXKA,hermes,8963924,-50000,8913924,hand_loss,confirmed,2026-05-11T15:40:50.363819+00:00,10
01KRBV5F9TWG91TJNK8J9Y3E7D,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV5B5Z3AG5V306DYBRXXKA,openclaw,1036076,50000,1086076,hand_win,confirmed,2026-05-11T15:40:50.362420+00:00,10
01KRBV5QS5N7Q1YB0VAS17WXF0,01KRBV0HCFB0ZGT23R0XV67SSS,01KRBV5HX6ZYG6XHRSDQW52ZVJ,hermes,8913924,-100000,8813924,hand_loss,confirmed,2026-05-11T15:40:59.045745+00:00,11
