action_id,hand_id,sequence,street,agent_name,action_type,amount_micros,stack_before_micros,stack_after_micros,pot_before_micros,pot_after_micros,to_call_micros,decision_latency_ms,was_auto_action,auto_action_reason,reasoning_text,timestamp,match_id,hand_number
01KRBV96KVFFAWA74DE5RSJD5Q,01KRBV93EKEN18M12NKXFHZ7N0,2,preflop,openclaw,fold,0,4950000,4950000,150000,0,50000,3229,0,,,2026-05-11T15:42:52.539508+00:00,01KRBV91YZKT54Q4JEXYEKN33B,1
01KRBV9BC2ZVZCWPP52B5W3EZ9,01KRBV99JPHP1F02H854QY7JXK,2,preflop,hermes,raise,200000,5000000,4850000,150000,300000,50000,1828,0,,,2026-05-11T15:42:57.410674+00:00,01KRBV91YZKT54Q4JEXYEKN33B,2
01KRBV9F7CAYJCF83F0VQB6FR0,01KRBV99JPHP1F02H854QY7JXK,3,preflop,openclaw,fold,0,4850000,4850000,300000,0,100000,3935,0,,,2026-05-11T15:43:01.356691+00:00,01KRBV91YZKT54Q4JEXYEKN33B,2
01KRBV9NPGYQRP9Z3TY4TNP46J,01KRBV9JDK74082F9X9FT2JRTQ,2,preflop,openclaw,fold,0,4798170,4798170,150000,0,50000,3342,0,,,2026-05-11T15:43:07.984555+00:00,01KRBV91YZKT54Q4JEXYEKN33B,3
01KRBVAAV1NFF34GFJH6SHXGBS,01KRBV9SVMFYJB0M1ABHHW8VY6,2,preflop,hermes,fold,0,5149306,5149306,150000,0,50000,17371,0,,,2026-05-11T15:43:29.633108+00:00,01KRBV91YZKT54Q4JEXYEKN33B,4
01KRBVAJARC7S2AZ40YFCS8C5A,01KRBVADYWWSDS25H8X2GTT2PY,2,preflop,openclaw,fold,0,4793468,4793468,150000,0,50000,4465,0,,,2026-05-11T15:43:37.304724+00:00,01KRBV91YZKT54Q4JEXYEKN33B,5
01KRBVAQ0BSRASP9EYC6QR07QR,01KRBVAN996G2VHX2FKXP49GX6,2,preflop,hermes,fold,0,5149306,5149306,150000,0,50000,1750,0,,,2026-05-11T15:43:42.091050+00:00,01KRBV91YZKT54Q4JEXYEKN33B,6
01KRBVAY8PYKZC8GXNR4FX0ZG8,01KRBVASZ4FAXESNBFX25HXRVS,2,preflop,openclaw,raise,250000,4793468,4593468,150000,350000,50000,4392,0,,,2026-05-11T15:43:49.526130+00:00,01KRBV91YZKT54Q4JEXYEKN33B,7
01KRBVB1M1WDG5R99C5TC722MW,01KRBVASZ4FAXESNBFX25HXRVS,3,preflop,hermes,fold,0,5048615,5048615,350000,0,150000,3424,0,,,2026-05-11T15:43:52.961235+00:00,01KRBV91YZKT54Q4JEXYEKN33B,7
01KRBVB60YYRXA15TEJ5PQXWHK,01KRBVB4RGGHKYWG0Y0XPND852,2,preflop,hermes,fold,0,4997898,4997898,150000,0,50000,1281,0,,,2026-05-11T15:43:57.470866+00:00,01KRBV91YZKT54Q4JEXYEKN33B,8
01KRBVBCMTXYBR0ACX5F326DAV,01KRBVB8ZMPQZMNNW4SB4BVNDK,2,preflop,openclaw,fold,0,4937644,4937644,150000,0,50000,3734,0,,,2026-05-11T15:44:04.250223+00:00,01KRBV91YZKT54Q4JEXYEKN33B,9
01KRBVBHNX46N1YDSKWSBZ05EC,01KRBVBFKJPVYSDSJDA46NP6XZ,2,preflop,hermes,fold,0,4996430,4996430,150000,0,50000,2107,0,,,2026-05-11T15:44:09.405644+00:00,01KRBV91YZKT54Q4JEXYEKN33B,10
01KRBVBRR4FTT2GSAJ47ENB4FN,01KRBVBMNDP08SVZK4JSHZ1TRS,2,preflop,openclaw,fold,0,4935156,4935156,150000,0,50000,4168,0,,,2026-05-11T15:44:16.644800+00:00,01KRBV91YZKT54Q4JEXYEKN33B,11
01KRBVBX4M629QF5N1M340JVJ5,01KRBVBVQFH3KFVYZV5FG80GR8,2,preflop,hermes,fold,0,4995715,4995715,150000,0,50000,1434,0,,,2026-05-11T15:44:21.140334+00:00,01KRBV91YZKT54Q4JEXYEKN33B,12
01KRBVC3TXFBXCQ874HVZRQGCS,01KRBVC05QK98J12EAY3CNH08H,2,preflop,openclaw,fold,0,4935156,4935156,150000,0,50000,3736,0,,,2026-05-11T15:44:27.997337+00:00,01KRBV91YZKT54Q4JEXYEKN33B,13
01KRBVCCM3PB1HXKBDKRV2SMT1,01KRBVC6TNBQVFX78F4R0CNP9S,2,preflop,hermes,raise,200000,4994999,4844999,150000,300000,50000,5924,0,,,2026-05-11T15:44:36.995627+00:00,01KRBV91YZKT54Q4JEXYEKN33B,14
01KRBVCKN6G833K1E0QCD3RM50,01KRBVC6TNBQVFX78F4R0CNP9S,3,preflop,openclaw,call,100000,4832678,4732678,300000,400000,100000,7189,0,,repaired-action: no_json_object_found,2026-05-11T15:44:44.198426+00:00,01KRBV91YZKT54Q4JEXYEKN33B,14
01KRBVCQW8FK11Q8S02MFGFPHF,01KRBVC6TNBQVFX78F4R0CNP9S,4,flop,openclaw,check,0,4732678,4732678,400000,400000,0,4312,0,,,2026-05-11T15:44:48.520842+00:00,01KRBV91YZKT54Q4JEXYEKN33B,14
01KRBVCT190AC44VJV6EXQ9CNN,01KRBVC6TNBQVFX78F4R0CNP9S,5,flop,hermes,check,0,4844999,4844999,400000,400000,0,2195,0,,,2026-05-11T15:44:50.729214+00:00,01KRBV91YZKT54Q4JEXYEKN33B,14
01KRBVCXWQ5E5HP3MWHJ14PDMC,01KRBVC6TNBQVFX78F4R0CNP9S,6,turn,openclaw,check,0,4732678,4732678,400000,400000,0,3938,0,,,2026-05-11T15:44:54.679401+00:00,01KRBV91YZKT54Q4JEXYEKN33B,14
01KRBVCZ3JB14FJ6G4Q26JNYJN,01KRBVC6TNBQVFX78F4R0CNP9S,7,turn,hermes,check,0,4844999,4844999,400000,400000,0,1230,0,,,2026-05-11T15:44:55.922695+00:00,01KRBV91YZKT54Q4JEXYEKN33B,14
01KRBVD2EXVCTKPQYGJSZZ4CWP,01KRBVC6TNBQVFX78F4R0CNP9S,8,river,openclaw,check,0,4732678,4732678,400000,400000,0,3425,0,,,2026-05-11T15:44:59.357088+00:00,01KRBV91YZKT54Q4JEXYEKN33B,14
01KRBVD91GX8PT7NQEM6YFR8EZ,01KRBVC6TNBQVFX78F4R0CNP9S,9,river,hermes,check,0,4844999,5244999,400000,0,0,6718,0,,,2026-05-11T15:45:06.096561+00:00,01KRBV91YZKT54Q4JEXYEKN33B,14
01KRBVDGXCATATP5M6274Y9Q9Q,01KRBVDCN3YNEAHW6X5G6K6GNS,2,preflop,openclaw,raise,250000,4667004,4467004,150000,350000,50000,4347,0,,,2026-05-11T15:45:14.156560+00:00,01KRBV91YZKT54Q4JEXYEKN33B,15
01KRBVDJKT096AY9ZQGHTSCRN5,01KRBVDCN3YNEAHW6X5G6K6GNS,3,preflop,hermes,fold,0,5142805,5142805,350000,0,150000,1731,0,,,2026-05-11T15:45:15.898666+00:00,01KRBV91YZKT54Q4JEXYEKN33B,15
01KRBVDQEYPE9A3JHWMZGY5J0T,01KRBVDNVZJ7RRV683QGP59J79,2,preflop,hermes,fold,0,5092805,5092805,150000,0,50000,1621,0,,,2026-05-11T15:45:20.862850+00:00,01KRBV91YZKT54Q4JEXYEKN33B,16
01KRBVDY270WEW69599KVQM1Z9,01KRBVDTDGA0YRV249WNGJZQ1Y,2,preflop,openclaw,fold,0,4817004,4817004,150000,0,50000,3723,0,,,2026-05-11T15:45:27.623107+00:00,01KRBV91YZKT54Q4JEXYEKN33B,17
01KRBVE2PZYAHJRJTE28V1APN8,01KRBVE13TRW8YGHVJMJ23HRJH,2,preflop,hermes,fold,0,5091361,5091361,150000,0,50000,1626,0,,,2026-05-11T15:45:32.383684+00:00,01KRBV91YZKT54Q4JEXYEKN33B,18
01KRBVE9MFYWNXHNN2E1Q0TCDX,01KRBVE5P4SYX01CZ8X0C2J31B,2,preflop,openclaw,fold,0,4813926,4813926,150000,0,50000,4034,0,,,2026-05-11T15:45:39.471291+00:00,01KRBV91YZKT54Q4JEXYEKN33B,19
01KRBVEE4B2QWFAEPN0EYPKX1G,01KRBVECN13M51Z96XT8M9N52Z,2,preflop,hermes,fold,0,5090672,5090672,150000,0,50000,1499,0,,,2026-05-11T15:45:44.075489+00:00,01KRBV91YZKT54Q4JEXYEKN33B,20
01KRBVEMFQS8123KGN7H8TVM0S,01KRBVEH2XKSSC84Q7CBHT9A0S,2,preflop,openclaw,raise,200000,4811136,4661136,150000,300000,50000,3471,0,,,2026-05-11T15:45:50.583631+00:00,01KRBV91YZKT54Q4JEXYEKN33B,21
01KRBVEP66Z3XFSC40K625RA6K,01KRBVEH2XKSSC84Q7CBHT9A0S,3,preflop,hermes,fold,0,4990672,4990672,300000,0,100000,1729,0,,,2026-05-11T15:45:52.326604+00:00,01KRBV91YZKT54Q4JEXYEKN33B,21
01KRBVF09945079JE63TCY1PXK,01KRBVESDY2F860P0A5KNV79C8,2,preflop,hermes,raise,200000,4939287,4789287,150000,300000,50000,7009,0,,,2026-05-11T15:46:02.665346+00:00,01KRBV91YZKT54Q4JEXYEKN33B,22
01KRBVF3Y5JN5JA5GB02R8VR3C,01KRBVESDY2F860P0A5KNV79C8,3,preflop,openclaw,fold,0,4858682,4858682,300000,0,100000,3732,0,,,2026-05-11T15:46:06.405603+00:00,01KRBV91YZKT54Q4JEXYEKN33B,22
01KRBVFAPDDQ98P6BSYMP5H57V,01KRBVF77X020MBQ75SH7R4VTF,2,preflop,openclaw,fold,0,4806130,4806130,150000,0,50000,3523,0,,,2026-05-11T15:46:13.325516+00:00,01KRBV91YZKT54Q4JEXYEKN33B,23
01KRBVFMM851EW28T27D0SCXMQ,01KRBVFDSA5SF71EQ912RXQG0Y,2,preflop,hermes,fold,0,5087899,5087899,150000,0,50000,6993,0,,,2026-05-11T15:46:23.496200+00:00,01KRBV91YZKT54Q4JEXYEKN33B,24
01KRBVFV52PXKZNW83YPYC7H40,01KRBVFQW6KQK7AFYTQ483RDAZ,2,preflop,openclaw,raise,200000,4803164,4653164,150000,300000,50000,3343,0,,,2026-05-11T15:46:30.178507+00:00,01KRBV91YZKT54Q4JEXYEKN33B,25
01KRBVFWS21HNZ8RM3PB631ZAW,01KRBVFQW6KQK7AFYTQ483RDAZ,3,preflop,hermes,fold,0,4987899,4987899,300000,0,100000,1652,0,,,2026-05-11T15:46:31.842856+00:00,01KRBV91YZKT54Q4JEXYEKN33B,25
01KRBVG14N3B8GJX322GV9ADC7,01KRBVFZZVBVNN18KREK84EF97,2,preflop,hermes,fold,0,4937899,4937899,150000,0,50000,1164,0,,,2026-05-11T15:46:36.309220+00:00,01KRBV91YZKT54Q4JEXYEKN33B,26
01KRBVG7N6M1X9PGC6CNYRS8D3,01KRBVG43QRBQZVCBDK8HSDMP2,2,preflop,openclaw,fold,0,4948338,4948338,150000,0,50000,3619,0,,,2026-05-11T15:46:42.982733+00:00,01KRBV91YZKT54Q4JEXYEKN33B,27
01KRBVGDV6GW1MWQYJRVZ7X46P,01KRBVGAMTBC1ZQ6P5B27F7TPC,2,preflop,hermes,fold,0,4936513,4936513,150000,0,50000,3263,0,,,2026-05-11T15:46:49.318969+00:00,01KRBV91YZKT54Q4JEXYEKN33B,28
01KRBVGMHR8ZW8SCG8WCPHKTD4,01KRBVGH1WF2PQA3537NT2K5QG,2,preflop,openclaw,fold,0,4945784,4945784,150000,0,50000,3568,0,,,2026-05-11T15:46:56.184653+00:00,01KRBV91YZKT54Q4JEXYEKN33B,29
01KRBVH5RMPQ86W05K956WW8TN,01KRBVGQH5K0R19A07VPFW9DC6,2,preflop,hermes,fold,0,4935799,4935799,150000,0,50000,14563,0,,,2026-05-11T15:47:13.812775+00:00,01KRBV91YZKT54Q4JEXYEKN33B,30
01KRBVHC813AWGT67A95QPB12P,01KRBVH8XB1V5HV1ESKFDVZQE8,2,preflop,openclaw,raise,200000,4943746,4793746,150000,300000,50000,3404,0,,,2026-05-11T15:47:20.449377+00:00,01KRBV91YZKT54Q4JEXYEKN33B,31
