hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRBW36F87THP1ZP636YAZ6XJ,01KRBW350SJSXD3WFP768NDXB3,1,2026-05-11T15:57:04.360470+00:00,2026-05-11T15:57:07.849247+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:1,5d3h,3d6c,,,,100000,hermes,fold,
01KRBW3CFEYS79YTY66KXBGK23,01KRBW350SJSXD3WFP768NDXB3,2,2026-05-11T15:57:10.510247+00:00,2026-05-11T15:57:22.914001+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:2,QcKs,2hJs,,,,200000,hermes,fold,
01KRBW3V9MB9S9BMYXT00BNEYF,01KRBW350SJSXD3WFP768NDXB3,3,2026-05-11T15:57:25.684352+00:00,2026-05-11T15:57:29.600725+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:3,Ad4s,7s2c,,,,100000,hermes,fold,
01KRBW41T3F11PM30W3Z1EZ5NW,01KRBW350SJSXD3WFP768NDXB3,4,2026-05-11T15:57:32.355116+00:00,2026-05-11T15:58:03.210994+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:4,KhKc,Ah3h,4c5c8h,Ts,,800000,hermes,fold,
01KRBW52J1TPZ6271FZ65KKP9D,01KRBW350SJSXD3WFP768NDXB3,5,2026-05-11T15:58:05.889120+00:00,2026-05-11T15:58:12.178126+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:5,7d2d,7sAd,,,,200000,openclaw,fold,
01KRBW5BC8GZP8WN8MA6A775YM,01KRBW350SJSXD3WFP768NDXB3,6,2026-05-11T15:58:14.920955+00:00,2026-05-11T15:58:22.609712+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:6,9cKh,9s8d,,,,200000,hermes,fold,
01KRBW5NFQFVGZ26059HVNARXV,01KRBW350SJSXD3WFP768NDXB3,7,2026-05-11T15:58:25.271459+00:00,2026-05-11T15:58:31.713528+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:7,5d4c,Qc2c,,,,100000,hermes,fold,
01KRBW5YEHPSHGS2403CM4RZ6C,01KRBW350SJSXD3WFP768NDXB3,8,2026-05-11T15:58:34.449542+00:00,2026-05-11T15:58:36.246763+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:8,3c2s,QhKs,,,,100000,openclaw,fold,
01KRBW62S9R4ZAFTKX0QF3NWEJ,01KRBW350SJSXD3WFP768NDXB3,9,2026-05-11T15:58:38.889832+00:00,2026-05-11T15:58:42.812957+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:9,Kc5h,2s3d,,,,100000,hermes,fold,
01KRBW69BEHHAYHQEZKXAGTC0P,01KRBW350SJSXD3WFP768NDXB3,10,2026-05-11T15:58:45.614579+00:00,2026-05-11T15:58:57.762012+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:10,5d9c,3hJh,,,,100000,openclaw,fold,
