match_id,hand_id,hand_number,started_at,ended_at,button_agent,winner,win_type,pot_final_micros,action_count,auto_action_count,max_decision_latency_ms,avg_decision_latency_ms,hermes_action_count,openclaw_action_count,error_count,hermes_settlement_delta_micros,openclaw_settlement_delta_micros
01KRBZ911K38627MSP5YNFD6N6,01KRBZ92G81ADGES90DBMBH8E8,1,2026-05-11T16:52:42.633003+00:00,2026-05-11T16:52:49.799866+00:00,openclaw,openclaw,fold,200000,2,0,4541,3319.0,1,1,0,-100000,100000
01KRBZ911K38627MSP5YNFD6N6,01KRBZ9C1YN20N3WPEWVVG2S0W,2,2026-05-11T16:52:52.414414+00:00,2026-05-11T16:53:00.421438+00:00,hermes,openclaw,fold,100000,1,0,7397,7397.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZ9PF98AAJEYSW5SFAEMW7,3,2026-05-11T16:53:03.081146+00:00,2026-05-11T16:53:08.027006+00:00,openclaw,hermes,fold,100000,1,0,4539,4539.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZ9XVHFZV41HCZ31BX6XA9,4,2026-05-11T16:53:10.641111+00:00,2026-05-11T16:53:47.478147+00:00,hermes,openclaw,showdown,800000,8,0,6337,4519.75,4,4,0,-400000,400000
01KRBZ911K38627MSP5YNFD6N6,01KRBZB4MBRJ1MSDG9ZADM6NJT,5,2026-05-11T16:53:50.347417+00:00,2026-05-11T16:53:54.381648+00:00,openclaw,hermes,fold,100000,1,0,3612,3612.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZBBJ8HSY2AZBXMXBZ61FA,6,2026-05-11T16:53:57.448463+00:00,2026-05-11T16:54:00.631633+00:00,hermes,openclaw,fold,100000,1,0,2771,2771.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZBHBTKC2WD0GS4D7WDZEM,7,2026-05-11T16:54:03.386527+00:00,2026-05-11T16:54:08.750336+00:00,openclaw,hermes,fold,100000,1,0,4559,4559.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZBSAA12TR602922D88YRH,8,2026-05-11T16:54:11.530352+00:00,2026-05-11T16:54:13.536858+00:00,hermes,openclaw,fold,100000,1,0,1574,1574.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZBXYWG5B0DEHJ1W44VGQ8,9,2026-05-11T16:54:16.284043+00:00,2026-05-11T16:54:21.782673+00:00,openclaw,openclaw,fold,200000,2,0,3356,2493.5,1,1,0,-100000,100000
01KRBZ911K38627MSP5YNFD6N6,01KRBZC5WYH1192FNHHXY01GTM,10,2026-05-11T16:54:24.414715+00:00,2026-05-11T16:54:26.652296+00:00,hermes,openclaw,fold,100000,1,0,1844,1844.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZCAMD92ZT3G7WVQJ4ZKC1,11,2026-05-11T16:54:29.261846+00:00,2026-05-11T16:54:52.753684+00:00,openclaw,hermes,showdown,500000,8,0,4414,2859.25,4,4,0,250000,-250000
01KRBZ911K38627MSP5YNFD6N6,01KRBZD45S33TVS8BGA7FHPS2C,12,2026-05-11T16:54:55.417438+00:00,2026-05-11T16:54:57.710010+00:00,hermes,openclaw,fold,100000,1,0,1907,1907.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZD8YRS86Z39M0NRP1B8RT,13,2026-05-11T16:55:00.312527+00:00,2026-05-11T16:55:04.197228+00:00,openclaw,hermes,fold,100000,1,0,3485,3485.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZDFCX15MBBZC6PRZVCKG1,14,2026-05-11T16:55:06.909340+00:00,2026-05-11T16:55:35.636715+00:00,hermes,openclaw,showdown,400000,8,0,8125,3512.625,4,4,0,-200000,200000
01KRBZ911K38627MSP5YNFD6N6,01KRBZEE1WKKD9MXDP8T05AKZQ,15,2026-05-11T16:55:38.300142+00:00,2026-05-11T16:55:42.221065+00:00,openclaw,hermes,fold,100000,1,0,3554,3554.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZEMFH0X8EHAEFV65FRK6Q,16,2026-05-11T16:55:44.881636+00:00,2026-05-11T16:55:51.004800+00:00,hermes,hermes,fold,200000,2,0,3753,2799.5,1,1,0,100000,-100000
01KRBZ911K38627MSP5YNFD6N6,01KRBZEX1C5PBKHVW2X59K0YBP,17,2026-05-11T16:55:53.644345+00:00,2026-05-11T16:55:57.952543+00:00,openclaw,hermes,fold,100000,1,0,3930,3930.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZF3S7V5CCMKNYRPKT5JRV,18,2026-05-11T16:56:00.551162+00:00,2026-05-11T16:56:02.691582+00:00,hermes,openclaw,fold,100000,1,0,1756,1756.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZF8RVXVP2DKBM34C2QEYY,19,2026-05-11T16:56:05.659187+00:00,2026-05-11T16:56:22.199343+00:00,openclaw,openclaw,fold,400000,5,0,6892,3197.4,3,2,0,-200000,200000
01KRBZ911K38627MSP5YNFD6N6,01KRBZFVZVK15ZCQ3BAKEZGEYT,20,2026-05-11T16:56:25.339651+00:00,2026-05-11T16:56:27.907709+00:00,hermes,openclaw,fold,100000,1,0,2187,2187.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZG1228Q6XTKZCSRCWARQN,21,2026-05-11T16:56:30.530955+00:00,2026-05-11T16:56:37.496877+00:00,openclaw,openclaw,fold,200000,2,0,4953,3208.0,1,1,0,-100000,100000
