snapshot_id,match_id,hand_id,agent_name,snapshot_type,limit_micros,usage_micros,limit_remaining_micros,timestamp,hand_number
01KRBZ91BPDZF3JWDDV1EATDJT,01KRBZ911K38627MSP5YNFD6N6,,hermes,match_start,5000000,0,5000000,2026-05-11T16:52:41.462343+00:00,
01KRBZ91H904Y55ZAMSCCP62WF,01KRBZ911K38627MSP5YNFD6N6,,openclaw,match_start,5000000,0,5000000,2026-05-11T16:52:41.641225+00:00,
01KRBZ92GDCD6QP92FN7PXFBBM,01KRBZ911K38627MSP5YNFD6N6,01KRBZ92G81ADGES90DBMBH8E8,hermes,hand_start,5000000,0,5000000,2026-05-11T16:52:42.637855+00:00,1
01KRBZ92GEAR9NXM9ZZ20ZVZG9,01KRBZ911K38627MSP5YNFD6N6,01KRBZ92G81ADGES90DBMBH8E8,openclaw,hand_start,5000000,0,5000000,2026-05-11T16:52:42.638583+00:00,1
01KRBZ9AQ1703W3TNTRTF6DW5Q,01KRBZ911K38627MSP5YNFD6N6,01KRBZ92G81ADGES90DBMBH8E8,hermes,hand_end,4900000,0,4900000,2026-05-11T16:52:51.041301+00:00,1
01KRBZ9AQ52FTCC5ZPCA57MQ39,01KRBZ911K38627MSP5YNFD6N6,01KRBZ92G81ADGES90DBMBH8E8,openclaw,hand_end,5100000,0,5100000,2026-05-11T16:52:51.045866+00:00,1
01KRBZ9C22EW39DG300T1Y6CJ0,01KRBZ911K38627MSP5YNFD6N6,01KRBZ9C1YN20N3WPEWVVG2S0W,hermes,hand_start,4900000,0,4900000,2026-05-11T16:52:52.418661+00:00,2
01KRBZ9C23XFGMNC92GYXTH6YN,01KRBZ911K38627MSP5YNFD6N6,01KRBZ9C1YN20N3WPEWVVG2S0W,openclaw,hand_start,5100000,0,5100000,2026-05-11T16:52:52.419523+00:00,2
01KRBZ9N4DF4REN6TT6PEZCD5H,01KRBZ911K38627MSP5YNFD6N6,01KRBZ9C1YN20N3WPEWVVG2S0W,hermes,hand_end,4850000,0,4850000,2026-05-11T16:53:01.709866+00:00,2
01KRBZ9N4JHJ9CV2DR8CA94SJ4,01KRBZ911K38627MSP5YNFD6N6,01KRBZ9C1YN20N3WPEWVVG2S0W,openclaw,hand_end,5150000,2586,5147414,2026-05-11T16:53:01.714383+00:00,2
01KRBZ9PFDHST4N9AFPFVAM08D,01KRBZ911K38627MSP5YNFD6N6,01KRBZ9PF98AAJEYSW5SFAEMW7,hermes,hand_start,4850000,0,4850000,2026-05-11T16:53:03.085892+00:00,3
01KRBZ9PFFWC8C7Y5W5A85RF9C,01KRBZ911K38627MSP5YNFD6N6,01KRBZ9PF98AAJEYSW5SFAEMW7,openclaw,hand_start,5150000,2586,5147414,2026-05-11T16:53:03.087078+00:00,3
01KRBZ9WGM45359E6FR7RKZP8C,01KRBZ911K38627MSP5YNFD6N6,01KRBZ9PF98AAJEYSW5SFAEMW7,hermes,hand_end,4900000,1392,4898608,2026-05-11T16:53:09.268509+00:00,3
01KRBZ9WGRFP46E73ASHDPNMCH,01KRBZ911K38627MSP5YNFD6N6,01KRBZ9PF98AAJEYSW5SFAEMW7,openclaw,hand_end,5100000,2586,5097414,2026-05-11T16:53:09.272831+00:00,3
01KRBZ9XVKC8PZ8APT1A6HNFR2,01KRBZ911K38627MSP5YNFD6N6,01KRBZ9XVHFZV41HCZ31BX6XA9,hermes,hand_start,4900000,1392,4898608,2026-05-11T16:53:10.643926+00:00,4
01KRBZ9XVM8H7WAZ1W0EBR5G6Q,01KRBZ911K38627MSP5YNFD6N6,01KRBZ9XVHFZV41HCZ31BX6XA9,openclaw,hand_start,5100000,2586,5097414,2026-05-11T16:53:10.644488+00:00,4
01KRBZB37B3CT1DMZCSMMM2J43,01KRBZ911K38627MSP5YNFD6N6,01KRBZ9XVHFZV41HCZ31BX6XA9,hermes,hand_end,4500000,3761,4496239,2026-05-11T16:53:48.907650+00:00,4
01KRBZB37EM7D87MPQAXJGJQ21,01KRBZ911K38627MSP5YNFD6N6,01KRBZ9XVHFZV41HCZ31BX6XA9,openclaw,hand_end,5500000,13054,5486946,2026-05-11T16:53:48.910375+00:00,4
01KRBZB4MEHR1TJM61CX366S5S,01KRBZ911K38627MSP5YNFD6N6,01KRBZB4MBRJ1MSDG9ZADM6NJT,hermes,hand_start,4500000,3761,4496239,2026-05-11T16:53:50.350862+00:00,5
01KRBZB4MF4CRMVMS7G7D258AK,01KRBZ911K38627MSP5YNFD6N6,01KRBZB4MBRJ1MSDG9ZADM6NJT,openclaw,hand_start,5500000,13054,5486946,2026-05-11T16:53:50.351951+00:00,5
01KRBZBA6MQ37XHMYVYRNXE0FN,01KRBZ911K38627MSP5YNFD6N6,01KRBZB4MBRJ1MSDG9ZADM6NJT,hermes,hand_end,4550000,4494,4545506,2026-05-11T16:53:56.053008+00:00,5
01KRBZBA6SN67ABAQMHXDWJZVZ,01KRBZ911K38627MSP5YNFD6N6,01KRBZB4MBRJ1MSDG9ZADM6NJT,openclaw,hand_end,5450000,16020,5433980,2026-05-11T16:53:56.057126+00:00,5
01KRBZBBJCK76A9DXWC91664N2,01KRBZ911K38627MSP5YNFD6N6,01KRBZBBJ8HSY2AZBXMXBZ61FA,hermes,hand_start,4550000,4494,4545506,2026-05-11T16:53:57.452832+00:00,6
01KRBZBBJDFW684B5D2PNNXM90,01KRBZ911K38627MSP5YNFD6N6,01KRBZBBJ8HSY2AZBXMXBZ61FA,openclaw,hand_start,5450000,16020,5433980,2026-05-11T16:53:57.453630+00:00,6
01KRBZBG0EXCP55PRE41SRP1V9,01KRBZ911K38627MSP5YNFD6N6,01KRBZBBJ8HSY2AZBXMXBZ61FA,hermes,hand_end,4500000,4494,4495506,2026-05-11T16:54:01.999007+00:00,6
01KRBZBG0KM75H0TA5VF1092MV,01KRBZ911K38627MSP5YNFD6N6,01KRBZBBJ8HSY2AZBXMXBZ61FA,openclaw,hand_end,5500000,16020,5483980,2026-05-11T16:54:02.003808+00:00,6
01KRBZBHBY9EAA1M8WBXD7KQRE,01KRBZ911K38627MSP5YNFD6N6,01KRBZBHBTKC2WD0GS4D7WDZEM,hermes,hand_start,4500000,4494,4495506,2026-05-11T16:54:03.390559+00:00,7
01KRBZBHBZ334P8S5J0BR8F56W,01KRBZ911K38627MSP5YNFD6N6,01KRBZBHBTKC2WD0GS4D7WDZEM,openclaw,hand_start,5500000,18174,5481826,2026-05-11T16:54:03.391871+00:00,7
01KRBZBQYQ6WS75KK10529X6AA,01KRBZ911K38627MSP5YNFD6N6,01KRBZBHBTKC2WD0GS4D7WDZEM,hermes,hand_end,4550000,5242,4544758,2026-05-11T16:54:10.135846+00:00,7
01KRBZBQYWD0FC4VQKSBRWJ1Y7,01KRBZ911K38627MSP5YNFD6N6,01KRBZBHBTKC2WD0GS4D7WDZEM,openclaw,hand_end,5450000,18174,5431826,2026-05-11T16:54:10.140403+00:00,7
01KRBZBSACE5JGJCD55MR0NARB,01KRBZ911K38627MSP5YNFD6N6,01KRBZBSAA12TR602922D88YRH,hermes,hand_start,4550000,5242,4544758,2026-05-11T16:54:11.532520+00:00,8
01KRBZBSADKNTRF8ZVYW810RE5,01KRBZ911K38627MSP5YNFD6N6,01KRBZBSAA12TR602922D88YRH,openclaw,hand_start,5450000,18174,5431826,2026-05-11T16:54:11.533495+00:00,8
01KRBZBWKEDJ4BJAE6SVCTC2SP,01KRBZ911K38627MSP5YNFD6N6,01KRBZBSAA12TR602922D88YRH,hermes,hand_end,4500000,5242,4494758,2026-05-11T16:54:14.894230+00:00,8
01KRBZBWKJ4K154BBNPGXKVQ7Y,01KRBZ911K38627MSP5YNFD6N6,01KRBZBSAA12TR602922D88YRH,openclaw,hand_end,5500000,18174,5481826,2026-05-11T16:54:14.898977+00:00,8
01KRBZBXYZXPANN41HF8D3232H,01KRBZ911K38627MSP5YNFD6N6,01KRBZBXYWG5B0DEHJ1W44VGQ8,hermes,hand_start,4500000,5242,4494758,2026-05-11T16:54:16.287842+00:00,9
01KRBZBXZ0WB8SCQJ6ASCMQYMV,01KRBZ911K38627MSP5YNFD6N6,01KRBZBXYWG5B0DEHJ1W44VGQ8,openclaw,hand_start,5500000,18174,5481826,2026-05-11T16:54:16.288555+00:00,9
01KRBZC4JEE45G7W5QM32Q5VY8,01KRBZ911K38627MSP5YNFD6N6,01KRBZBXYWG5B0DEHJ1W44VGQ8,hermes,hand_end,4400000,5242,4394758,2026-05-11T16:54:23.054162+00:00,9
01KRBZC4JHK0WPDS97GV8BEAT4,01KRBZ911K38627MSP5YNFD6N6,01KRBZBXYWG5B0DEHJ1W44VGQ8,openclaw,hand_end,5600000,21360,5578640,2026-05-11T16:54:23.057680+00:00,9
01KRBZC5X2Y18ZDJESTMHEJWP9,01KRBZ911K38627MSP5YNFD6N6,01KRBZC5WYH1192FNHHXY01GTM,hermes,hand_start,4400000,5242,4394758,2026-05-11T16:54:24.418423+00:00,10
01KRBZC5X3WP1H0GF3VQV9C7RC,01KRBZ911K38627MSP5YNFD6N6,01KRBZC5WYH1192FNHHXY01GTM,openclaw,hand_start,5600000,21360,5578640,2026-05-11T16:54:24.419648+00:00,10
01KRBZC99RWM24HGJQ82XXPZGF,01KRBZ911K38627MSP5YNFD6N6,01KRBZC5WYH1192FNHHXY01GTM,hermes,hand_end,4350000,5242,4344758,2026-05-11T16:54:27.896944+00:00,10
01KRBZC99WDJHKERKKEDJTPRJN,01KRBZ911K38627MSP5YNFD6N6,01KRBZC5WYH1192FNHHXY01GTM,openclaw,hand_end,5650000,21360,5628640,2026-05-11T16:54:27.900552+00:00,10
