match_id,hand_id,hand_number,started_at,ended_at,button_agent,winner,win_type,pot_final_micros,action_count,auto_action_count,max_decision_latency_ms,avg_decision_latency_ms,hermes_action_count,openclaw_action_count,error_count,hermes_settlement_delta_micros,openclaw_settlement_delta_micros
01KRBQ5F4REX6QDDZ8AV74AGRQ,01KRBQ5GN45BBXD3ET7SD8HKGJ,1,2026-05-11T14:30:57.444226+00:00,2026-05-11T14:31:33.494056+00:00,openclaw,openclaw,showdown,400000,8,0,8242,4421.875,4,4,0,-200000,200000
01KRBQ5F4REX6QDDZ8AV74AGRQ,01KRBQ6PMV1KETS2J1V66ZJSQ6,2,2026-05-11T14:31:36.347658+00:00,2026-05-11T14:32:16.598632+00:00,hermes,openclaw,showdown,200000,8,0,10799,4950.125,4,4,0,-100000,100000
01KRBQ5F4REX6QDDZ8AV74AGRQ,01KRBQ80PSD7KE2VC90H9SM4CY,3,2026-05-11T14:32:19.417689+00:00,2026-05-11T14:32:54.134664+00:00,openclaw,openclaw,showdown,400000,8,0,8730,4264.375,4,4,0,-200000,200000
01KRBQ5F4REX6QDDZ8AV74AGRQ,01KRBQ95FB0ZHY64KX7E8VGYCA,4,2026-05-11T14:32:57.067256+00:00,2026-05-11T14:33:02.329334+00:00,hermes,openclaw,fold,100000,1,0,4839,4839.0,1,0,0,-50000,50000
01KRBQ5F4REX6QDDZ8AV74AGRQ,01KRBQ9D9AEJV0GMENNX1FPW3F,5,2026-05-11T14:33:05.066195+00:00,2026-05-11T14:33:07.385016+00:00,openclaw,hermes,fold,100000,1,0,1920,1920.0,0,1,0,50000,-50000
01KRBQ5F4REX6QDDZ8AV74AGRQ,01KRBQ9J653PSJDD8G26NE1NKJ,6,2026-05-11T14:33:10.085675+00:00,2026-05-11T14:33:30.947343+00:00,hermes,hermes,fold,200000,5,0,7208,4050.0,2,3,0,100000,-100000
01KRBQ5F4REX6QDDZ8AV74AGRQ,01KRBQA99RQAXFZR3ZB01QS6QJ,7,2026-05-11T14:33:33.752793+00:00,2026-05-11T14:34:19.230316+00:00,openclaw,openclaw,showdown,400000,8,0,11038,5607.5,4,4,0,-200000,200000
01KRBQ5F4REX6QDDZ8AV74AGRQ,01KRBQBRC9BGF5BEX1KRFV01N2,8,2026-05-11T14:34:21.961926+00:00,2026-05-11T14:34:54.554795+00:00,hermes,openclaw,showdown,200000,8,0,6172,3992.375,4,4,0,-100000,100000
01KRBQ5F4REX6QDDZ8AV74AGRQ,01KRBQCV1JRXKX2RG4FC1BFT32,9,2026-05-11T14:34:57.458157+00:00,2026-05-11T14:34:59.946093+00:00,openclaw,hermes,fold,100000,1,0,2064,2064.0,0,1,0,50000,-50000
01KRBQ5F4REX6QDDZ8AV74AGRQ,01KRBQD088MG1BSEF9MJZVTSYA,10,2026-05-11T14:35:02.792647+00:00,2026-05-11T14:35:28.980155+00:00,hermes,hermes,showdown,8583700,6,0,8651,4257.5,3,3,0,4291850,-4291850
01KRBQ5F4REX6QDDZ8AV74AGRQ,01KRBQDWREV8STRK235ENCJW5Y,11,2026-05-11T14:35:31.982856+00:00,2026-05-11T14:35:34.871995+00:00,openclaw,hermes,fold,100000,1,0,2484,2484.0,0,1,0,50000,-50000
