settlement_id,match_id,hand_id,agent_name,limit_before_micros,limit_delta_micros,limit_after_micros,reason,status,timestamp,hand_number
01KRBQZFHCY5D5FMYFR6N38QPA,01KRBQZ6JYQNDP697YWZRCJADH,01KRBQZ8328M7AFPNRX9H0N79P,hermes,5000000,50000,5050000,hand_win,confirmed,2026-05-11T14:45:08.268743+00:00,1
01KRBQZFHEAT5990B7XVX6WE25,01KRBQZ6JYQNDP697YWZRCJADH,01KRBQZ8328M7AFPNRX9H0N79P,openclaw,5000000,-50000,4950000,hand_loss,confirmed,2026-05-11T14:45:08.270530+00:00,1
01KRBR0WH8BAXTZP0EZJC93RX0,01KRBQZ6JYQNDP697YWZRCJADH,01KRBQZK10Y1D55FFGM22EPC8P,hermes,5050000,-3600000,1450000,hand_loss,confirmed,2026-05-11T14:45:54.344797+00:00,2
01KRBR0WH7TPRFHA1KN7ZQ4D8H,01KRBQZ6JYQNDP697YWZRCJADH,01KRBQZK10Y1D55FFGM22EPC8P,openclaw,4950000,3600000,8550000,hand_win,confirmed,2026-05-11T14:45:54.343996+00:00,2
01KRBR21AYFM5B3E5YJ6KREET1,01KRBQZ6JYQNDP697YWZRCJADH,01KRBR0ZBMFXTH44WHAPKF05EK,hermes,1450000,-200000,1250000,hand_loss,confirmed,2026-05-11T14:46:32.030996+00:00,3
01KRBR21AZJ05NQAPP8FKJJHGG,01KRBQZ6JYQNDP697YWZRCJADH,01KRBR0ZBMFXTH44WHAPKF05EK,openclaw,8550000,200000,8750000,hand_win,confirmed,2026-05-11T14:46:32.031837+00:00,3
01KRBR2BMP35G16WJDA1QF586S,01KRBQZ6JYQNDP697YWZRCJADH,01KRBR240G51R6BEAF30Q2PC8Q,hermes,1250000,100000,1350000,hand_win,confirmed,2026-05-11T14:46:42.582881+00:00,4
01KRBR2BMPAPKGH6B6VA9VGHTJ,01KRBQZ6JYQNDP697YWZRCJADH,01KRBR240G51R6BEAF30Q2PC8Q,openclaw,8750000,-100000,8650000,hand_loss,confirmed,2026-05-11T14:46:42.582072+00:00,4
01KRBR34Q5XZB5K6P7NW48NDHY,01KRBQZ6JYQNDP697YWZRCJADH,01KRBR2E9Y4HG4GQ8C4A5BCYAV,hermes,1350000,-200000,1150000,hand_loss,confirmed,2026-05-11T14:47:08.261126+00:00,5
01KRBR34Q7XYDDNN566NCGW9HD,01KRBQZ6JYQNDP697YWZRCJADH,01KRBR2E9Y4HG4GQ8C4A5BCYAV,openclaw,8650000,200000,8850000,hand_win,confirmed,2026-05-11T14:47:08.263728+00:00,5
01KRBR40167MK2MF4GN7NZ87DM,01KRBQZ6JYQNDP697YWZRCJADH,01KRBR37Q0AYB9VVDFYAS5JYB7,hermes,1150000,-1143784,6216,hand_loss,confirmed,2026-05-11T14:47:36.230254+00:00,6
01KRBR401569C51T9JGEE62X1B,01KRBQZ6JYQNDP697YWZRCJADH,01KRBR37Q0AYB9VVDFYAS5JYB7,openclaw,8850000,1143784,9993784,hand_win,confirmed,2026-05-11T14:47:36.229175+00:00,6
