action_id,hand_id,sequence,street,agent_name,action_type,amount_micros,stack_before_micros,stack_after_micros,pot_before_micros,pot_after_micros,to_call_micros,decision_latency_ms,was_auto_action,auto_action_reason,reasoning_text,timestamp,match_id,hand_number
01KRBRC84YGZJHMZ88VCKVDYDR,01KRBRC4C611E77EFTFRP7Z2G1,2,preflop,openclaw,raise,250000,4950000,4750000,150000,350000,50000,3856,0,,,2026-05-11T14:52:06.686540+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,1
01KRBRCAJ9GVQC3QQ4FJWBXHWW,01KRBRC4C611E77EFTFRP7Z2G1,3,preflop,hermes,call,150000,4900000,4750000,350000,500000,150000,2452,0,,,2026-05-11T14:52:09.161644+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,1
01KRBRCDC2ECBPV18ADNCKPMAH,01KRBRC4C611E77EFTFRP7Z2G1,4,flop,hermes,check,0,4750000,4750000,500000,500000,0,2858,0,,,2026-05-11T14:52:12.034834+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,1
01KRBRCN70ZC8BEBPTQV7CRANB,01KRBRC4C611E77EFTFRP7Z2G1,5,flop,openclaw,check,0,4750000,4750000,500000,500000,0,8016,0,,,2026-05-11T14:52:20.064493+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,1
01KRBRCR1FRK1JBRVGHKHZXRSC,01KRBRC4C611E77EFTFRP7Z2G1,6,turn,hermes,check,0,4750000,4750000,500000,500000,0,2883,0,,,2026-05-11T14:52:22.959782+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,1
01KRBRD21CKG6BN0BDP2W69TG5,01KRBRC4C611E77EFTFRP7Z2G1,7,turn,openclaw,check,0,4750000,4750000,500000,500000,0,10224,0,,,2026-05-11T14:52:33.196525+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,1
01KRBRD4X46WXJ3Z87BH6BDSEC,01KRBRC4C611E77EFTFRP7Z2G1,8,river,hermes,check,0,4750000,4750000,500000,500000,0,2923,0,,,2026-05-11T14:52:36.132717+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,1
01KRBRDF23PKMNJK9DG3TW9J5F,01KRBRC4C611E77EFTFRP7Z2G1,9,river,openclaw,check,0,4750000,4750000,500000,0,0,10379,0,,,2026-05-11T14:52:46.531121+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,1
01KRBRDN33RFQX0BA2VRGWQM3H,01KRBRDJAQ8BJX3V7E1C7SPY10,2,preflop,hermes,raise,200000,5197975,5047975,150000,300000,50000,2811,0,,,2026-05-11T14:52:52.707592+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,2
01KRBRDWBCP0MFV8CPSVVQ6A5W,01KRBRDJAQ8BJX3V7E1C7SPY10,3,preflop,openclaw,call,100000,4642430,4542430,300000,400000,100000,7418,0,,,2026-05-11T14:53:00.140530+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,2
01KRBRE2KBZHETQHJKF3K75AMW,01KRBRDJAQ8BJX3V7E1C7SPY10,4,flop,openclaw,check,0,4542430,4542430,400000,400000,0,6384,0,,,2026-05-11T14:53:06.539067+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,2
01KRBRE5C8F0RFES7QJEV20MY8,01KRBRDJAQ8BJX3V7E1C7SPY10,5,flop,hermes,check,0,5047975,5047975,400000,400000,0,2830,0,,,2026-05-11T14:53:09.384529+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,2
01KRBREE9WTNP8A634S9TFAYEA,01KRBRDJAQ8BJX3V7E1C7SPY10,6,turn,openclaw,check,0,4542430,4542430,400000,400000,0,9126,0,,,2026-05-11T14:53:18.524793+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,2
01KRBREGD4C0D3TF8WBHH226ZS,01KRBRDJAQ8BJX3V7E1C7SPY10,7,turn,hermes,check,0,5047975,5047975,400000,400000,0,2138,0,,,2026-05-11T14:53:20.676113+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,2
01KRBRER0E90291J6KFDWTS281,01KRBRDJAQ8BJX3V7E1C7SPY10,8,river,openclaw,raise,300000,4542430,4242430,400000,700000,0,7772,0,,,2026-05-11T14:53:28.462692+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,2
01KRBRETFF8K7RTTEBGVX5JSGR,01KRBRDJAQ8BJX3V7E1C7SPY10,9,river,hermes,call,300000,5047975,5747975,700000,0,300000,2508,0,,,2026-05-11T14:53:30.991898+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,2
01KRBRF5RDVQKHP6FPAFM3H5HX,01KRBREXMMEJQJDD68BPRVP8YF,2,preflop,openclaw,raise,200000,4179670,4029670,150000,300000,50000,8298,0,,,2026-05-11T14:53:42.541693+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,3
01KRBRF8MB6MQX7R5TV56Q0W57,01KRBREXMMEJQJDD68BPRVP8YF,3,preflop,hermes,call,100000,5646469,5546469,300000,400000,100000,2929,0,,,2026-05-11T14:53:45.483992+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,3
01KRBRFAV36PM2QQNNXDZJZN9M,01KRBREXMMEJQJDD68BPRVP8YF,4,flop,hermes,check,0,5546469,5546469,400000,400000,0,2251,0,,,2026-05-11T14:53:47.747156+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,3
01KRBRFETDE0SWH8PSPGWRKREN,01KRBREXMMEJQJDD68BPRVP8YF,5,flop,openclaw,check,0,4029670,4029670,400000,400000,0,4061,0,,,2026-05-11T14:53:51.821728+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,3
01KRBRFH5V79GWZA0TGSP2WNFF,01KRBREXMMEJQJDD68BPRVP8YF,6,turn,hermes,check,0,5546469,5546469,400000,400000,0,2400,0,,,2026-05-11T14:53:54.235540+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,3
01KRBRFNFB04M1WPF7BCF0B625,01KRBREXMMEJQJDD68BPRVP8YF,7,turn,openclaw,check,0,4029670,4029670,400000,400000,0,4388,0,,,2026-05-11T14:53:58.635302+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,3
01KRBRFQVHBPVN6Y3744VNRYQZ,01KRBREXMMEJQJDD68BPRVP8YF,8,river,hermes,check,0,5546469,5546469,400000,400000,0,2424,0,,,2026-05-11T14:54:01.073250+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,3
01KRBRG35YC4S3RXY5DG3F2NPD,01KRBREXMMEJQJDD68BPRVP8YF,9,river,openclaw,check,0,4029670,4029670,400000,0,0,11580,0,,,2026-05-11T14:54:12.670717+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,3
01KRBRG8ZSWBCJBMSXG1K5XJYZ,01KRBRG6N4MFKXJH1B9PKD48CR,2,preflop,hermes,fold,0,5893917,5893917,150000,0,50000,2377,0,,,2026-05-11T14:54:18.617905+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,4
01KRBRGJZFAXWV77HQSBZNB3K0,01KRBRGC54MF9NV95ZBDM2NWPF,2,preflop,openclaw,call,50000,4019580,3969580,150000,200000,50000,6974,0,,,2026-05-11T14:54:28.847418+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,5
01KRBRGN1ABHHHB6AC7DVX9188,01KRBRGC54MF9NV95ZBDM2NWPF,3,preflop,hermes,check,0,5793917,5793917,200000,200000,0,2093,0,,,2026-05-11T14:54:30.954521+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,5
01KRBRGQ7NH4RK9ZCN1KTPCA8E,01KRBRGC54MF9NV95ZBDM2NWPF,4,flop,hermes,check,0,5793917,5793917,200000,200000,0,2237,0,,,2026-05-11T14:54:33.205380+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,5
01KRBRGYVFZTHJ50E8H301N0RW,01KRBRGC54MF9NV95ZBDM2NWPF,5,flop,openclaw,check,0,3969580,3969580,200000,200000,0,7788,0,,,2026-05-11T14:54:41.007766+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,5
01KRBRH0ZD22JHG46RRDBJD6KV,01KRBRGC54MF9NV95ZBDM2NWPF,6,turn,hermes,check,0,5793917,5793917,200000,200000,0,2159,0,,,2026-05-11T14:54:43.181141+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,5
01KRBRH4H85DM8JAT8FFJXTD6N,01KRBRGC54MF9NV95ZBDM2NWPF,7,turn,openclaw,check,0,3969580,3969580,200000,200000,0,3629,0,,,2026-05-11T14:54:46.824714+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,5
01KRBRH6XTAV62HKY5T4DW9DJQ,01KRBRGC54MF9NV95ZBDM2NWPF,8,river,hermes,check,0,5793917,5793917,200000,200000,0,2434,0,,,2026-05-11T14:54:49.274892+00:00,01KRBRC2TPAXX3XQN72J3W8W8D,5
