hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRBRC4C611E77EFTFRP7Z2G1,01KRBRC2TPAXX3XQN72J3W8W8D,1,2026-05-11T14:52:02.822315+00:00,2026-05-11T14:52:47.048783+00:00,openclaw,01KRBRC2TPAXX3XQN72J3W8W8D:1,7h6h,ThQh,8h2s2d,7d,9d,500000,hermes,showdown,
01KRBRDJAQ8BJX3V7E1C7SPY10,01KRBRC2TPAXX3XQN72J3W8W8D,2,2026-05-11T14:52:49.879984+00:00,2026-05-11T14:53:31.502115+00:00,hermes,01KRBRC2TPAXX3XQN72J3W8W8D:2,Ah3c,7sQs,2s6c5h,Ac,4d,1000000,hermes,showdown,
01KRBREXMMEJQJDD68BPRVP8YF,01KRBRC2TPAXX3XQN72J3W8W8D,3,2026-05-11T14:53:34.228744+00:00,2026-05-11T14:54:13.245033+00:00,openclaw,01KRBRC2TPAXX3XQN72J3W8W8D:3,9s8d,Qs6d,TsTh9d,Kc,6s,400000,hermes,showdown,
01KRBRG6N4MFKXJH1B9PKD48CR,01KRBRC2TPAXX3XQN72J3W8W8D,4,2026-05-11T14:54:16.228106+00:00,2026-05-11T14:54:19.044081+00:00,hermes,01KRBRC2TPAXX3XQN72J3W8W8D:4,3d7s,JhAs,,,,100000,openclaw,fold,
01KRBRGC54MF9NV95ZBDM2NWPF,01KRBRC2TPAXX3XQN72J3W8W8D,5,2026-05-11T14:54:21.860145+00:00,2026-05-11T14:54:58.105108+00:00,openclaw,01KRBRC2TPAXX3XQN72J3W8W8D:5,JsQs,9s3h,8h3sJd,Kd,4d,200000,hermes,showdown,
01KRBRHJD1TBYK7BTVQ3T6JQ0Z,01KRBRC2TPAXX3XQN72J3W8W8D,6,2026-05-11T14:55:01.025574+00:00,2026-05-11T14:55:04.367868+00:00,hermes,01KRBRC2TPAXX3XQN72J3W8W8D:6,5h2h,9h4d,,,,100000,openclaw,fold,
01KRBRHRG5TE4MVV4QPP7H48CM,01KRBRC2TPAXX3XQN72J3W8W8D,7,2026-05-11T14:55:07.269661+00:00,2026-05-11T14:55:15.207241+00:00,openclaw,01KRBRC2TPAXX3XQN72J3W8W8D:7,7dTs,4d5d,,,,200000,openclaw,fold,
01KRBRJ30BTKRSQCG5VZ21M4BH,01KRBRC2TPAXX3XQN72J3W8W8D,8,2026-05-11T14:55:18.027512+00:00,2026-05-11T14:55:21.058045+00:00,hermes,01KRBRC2TPAXX3XQN72J3W8W8D:8,7sTd,9s2d,,,,100000,openclaw,fold,
01KRBRJ8MXQ0QWN5M92WQ6AFVK,01KRBRC2TPAXX3XQN72J3W8W8D,9,2026-05-11T14:55:23.805560+00:00,2026-05-11T14:55:33.275571+00:00,openclaw,01KRBRC2TPAXX3XQN72J3W8W8D:9,6h9c,8h6d,,,,200000,openclaw,fold,
01KRBRJMHZR8XY23PZQ1N55EZ9,01KRBRC2TPAXX3XQN72J3W8W8D,10,2026-05-11T14:55:35.999216+00:00,2026-05-11T14:56:16.341156+00:00,hermes,01KRBRC2TPAXX3XQN72J3W8W8D:10,Ah8d,Ad7d,Ks4h4s,6d,5c,400000,hermes,showdown,
