snapshot_id,match_id,hand_id,agent_name,snapshot_type,limit_micros,usage_micros,limit_remaining_micros,timestamp,hand_number
01KRBRC34NE102KSY5DB62DZCW,01KRBRC2TPAXX3XQN72J3W8W8D,,hermes,match_start,5000000,0,5000000,2026-05-11T14:52:01.557089+00:00,
01KRBRC3B8CJ38C6Q65SA2Z41K,01KRBRC2TPAXX3XQN72J3W8W8D,,openclaw,match_start,5000000,0,5000000,2026-05-11T14:52:01.768253+00:00,
01KRBRC4C8WBGV10TCY8YAVES7,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRC4C611E77EFTFRP7Z2G1,hermes,hand_start,5000000,0,5000000,2026-05-11T14:52:02.824017+00:00,1
01KRBRC4C8SG3G0RGTAHPDPTK0,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRC4C611E77EFTFRP7Z2G1,openclaw,hand_start,5000000,0,5000000,2026-05-11T14:52:02.824276+00:00,1
01KRBRDGZ21K8QRC3WNV9AE29R,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRC4C611E77EFTFRP7Z2G1,hermes,hand_end,5250000,2025,5247975,2026-05-11T14:52:48.482484+00:00,1
01KRBRDGZ78BRNCKQWVDRXDM93,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRC4C611E77EFTFRP7Z2G1,openclaw,hand_end,4750000,7570,4742430,2026-05-11T14:52:48.487149+00:00,1
01KRBRDJAWHDZ90K3PXQ63RKSH,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRDJAQ8BJX3V7E1C7SPY10,hermes,hand_start,5250000,2025,5247975,2026-05-11T14:52:49.884677+00:00,2
01KRBRDJAXCFQ96F8XNS16R9Q2,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRDJAQ8BJX3V7E1C7SPY10,openclaw,hand_start,4750000,7570,4742430,2026-05-11T14:52:49.885804+00:00,2
01KRBREW8VH0PBBVTV1PBNXE3H,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRDJAQ8BJX3V7E1C7SPY10,hermes,hand_end,5750000,3531,5746469,2026-05-11T14:53:32.827119+00:00,2
01KRBREW8ZSK38VMCQ673KPBXQ,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRDJAQ8BJX3V7E1C7SPY10,openclaw,hand_end,4250000,17740,4232260,2026-05-11T14:53:32.831550+00:00,2
01KRBREXMSKWNCNRFEN98X5R37,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBREXMMEJQJDD68BPRVP8YF,hermes,hand_start,5750000,3531,5746469,2026-05-11T14:53:34.233289+00:00,3
01KRBREXMTP6R51XDSACEVB0AC,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBREXMMEJQJDD68BPRVP8YF,openclaw,hand_start,4250000,20330,4229670,2026-05-11T14:53:34.234445+00:00,3
01KRBRG56JG2FA4Q9R5AZW5S7F,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBREXMMEJQJDD68BPRVP8YF,hermes,hand_end,5950000,5586,5944414,2026-05-11T14:54:14.738804+00:00,3
01KRBRG56N4BPFQ9Y8H7QGEEDX,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBREXMMEJQJDD68BPRVP8YF,openclaw,hand_end,4050000,27885,4022115,2026-05-11T14:54:14.741572+00:00,3
01KRBRG6N8Q8BVSDV98Q438MJF,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRG6N4MFKXJH1B9PKD48CR,hermes,hand_start,5950000,6083,5943917,2026-05-11T14:54:16.232370+00:00,4
01KRBRG6N9V2J3NY1A4RR9EE2R,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRG6N4MFKXJH1B9PKD48CR,openclaw,hand_start,4050000,27885,4022115,2026-05-11T14:54:16.233351+00:00,4
01KRBRGARM7TM1QPYR4BW5FB4M,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRG6N4MFKXJH1B9PKD48CR,hermes,hand_end,5900000,6083,5893917,2026-05-11T14:54:20.436998+00:00,4
01KRBRGARRQ0J23NRXB5Q36TX8,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRG6N4MFKXJH1B9PKD48CR,openclaw,hand_end,4100000,30420,4069580,2026-05-11T14:54:20.440764+00:00,4
01KRBRGC57ZKC31VGF9AY43R0S,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRGC54MF9NV95ZBDM2NWPF,hermes,hand_start,5900000,6083,5893917,2026-05-11T14:54:21.863378+00:00,5
01KRBRGC58FYK34AQ5GZM0GS98,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRGC54MF9NV95ZBDM2NWPF,openclaw,hand_start,4100000,30420,4069580,2026-05-11T14:54:21.864614+00:00,5
01KRBRHGZQ2TT0TWM8R03NRJDM,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRGC54MF9NV95ZBDM2NWPF,hermes,hand_end,6000000,8042,5991958,2026-05-11T14:54:59.576023+00:00,5
01KRBRHGZV3BWTREPCWXXXC59H,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRGC54MF9NV95ZBDM2NWPF,openclaw,hand_end,4000000,38020,3961980,2026-05-11T14:54:59.579901+00:00,5
01KRBRHJD4F9KGMF625SRB3FDG,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRHJD1TBYK7BTVQ3T6JQ0Z,hermes,hand_start,6000000,8539,5991461,2026-05-11T14:55:01.028703+00:00,6
01KRBRHJD5QEWV0AEXSKSYPS61,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRHJD1TBYK7BTVQ3T6JQ0Z,openclaw,hand_start,4000000,38020,3961980,2026-05-11T14:55:01.029702+00:00,6
01KRBRHQ3PMDTYYEYTET5GJXYB,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRHJD1TBYK7BTVQ3T6JQ0Z,hermes,hand_end,5950000,8539,5941461,2026-05-11T14:55:05.846996+00:00,6
01KRBRHQ3VJRYGVEYV8NKHGJXT,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRHJD1TBYK7BTVQ3T6JQ0Z,openclaw,hand_end,4050000,38020,4011980,2026-05-11T14:55:05.851366+00:00,6
01KRBRHRG9MZX3VWS8KMGXA5GH,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRHRG5TE4MVV4QPP7H48CM,hermes,hand_start,5950000,8539,5941461,2026-05-11T14:55:07.273910+00:00,7
01KRBRHRGAXZPZ3B2Z9CJ3ES6M,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRHRG5TE4MVV4QPP7H48CM,openclaw,hand_start,4050000,38020,4011980,2026-05-11T14:55:07.274747+00:00,7
01KRBRJ1M564FJRK1AQC1M6DYV,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRHRG5TE4MVV4QPP7H48CM,hermes,hand_end,5850000,9034,5840966,2026-05-11T14:55:16.613648+00:00,7
01KRBRJ1MAWABR6JEDP3K6JEC1,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRHRG5TE4MVV4QPP7H48CM,openclaw,hand_end,4150000,40575,4109425,2026-05-11T14:55:16.618119+00:00,7
01KRBRJ30G3EQAAQNA585T1W0V,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJ30BTKRSQCG5VZ21M4BH,hermes,hand_start,5850000,9034,5840966,2026-05-11T14:55:18.032148+00:00,8
01KRBRJ30HTYAKPSRZPX767Q19,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJ30BTKRSQCG5VZ21M4BH,openclaw,hand_start,4150000,40575,4109425,2026-05-11T14:55:18.033442+00:00,8
01KRBRJ79CSGHZ34T28BK7K8NZ,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJ30BTKRSQCG5VZ21M4BH,hermes,hand_end,5800000,9532,5790468,2026-05-11T14:55:22.412965+00:00,8
01KRBRJ79HMV7QY9D0NZZBAV0H,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJ30BTKRSQCG5VZ21M4BH,openclaw,hand_end,4200000,43120,4156880,2026-05-11T14:55:22.417396+00:00,8
01KRBRJ8N10Y99NF8Q7HRGJR0D,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJ8MXQ0QWN5M92WQ6AFVK,hermes,hand_start,5800000,9532,5790468,2026-05-11T14:55:23.809753+00:00,9
01KRBRJ8N2J0N2CEZ3ZQPXD97K,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJ8MXQ0QWN5M92WQ6AFVK,openclaw,hand_start,4200000,43120,4156880,2026-05-11T14:55:23.810778+00:00,9
01KRBRJK6FARY1JTY6B7FFFXJ1,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJ8MXQ0QWN5M92WQ6AFVK,hermes,hand_end,5700000,10026,5689974,2026-05-11T14:55:34.607283+00:00,9
01KRBRJK6KJR52T260H7GPBAFJ,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJ8MXQ0QWN5M92WQ6AFVK,openclaw,hand_end,4300000,43120,4256880,2026-05-11T14:55:34.611408+00:00,9
01KRBRJMJ3E629K93WYE26ZNVW,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJMHZR8XY23PZQ1N55EZ9,hermes,hand_start,5700000,10026,5689974,2026-05-11T14:55:36.003933+00:00,10
01KRBRJMJ5YC18ZAG474KX2W6R,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJMHZR8XY23PZQ1N55EZ9,openclaw,hand_start,4300000,45665,4254335,2026-05-11T14:55:36.005100+00:00,10
01KRBRKX8R8KHB1H69D4TYT7KE,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJMHZR8XY23PZQ1N55EZ9,hermes,hand_end,5900000,12034,5887966,2026-05-11T14:56:17.688505+00:00,10
01KRBRKX8VSNNDQDT2B4D91QD9,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJMHZR8XY23PZQ1N55EZ9,openclaw,hand_end,4100000,53260,4046740,2026-05-11T14:56:17.691307+00:00,10
01KRBRKYMFD4PZBQVZ44BJGNKF,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRKYMAM2FWKD5983H85V9J,hermes,hand_start,5900000,12034,5887966,2026-05-11T14:56:19.087178+00:00,11
01KRBRKYMG9Q3G4HN18NM16YQ7,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRKYMAM2FWKD5983H85V9J,openclaw,hand_start,4100000,53260,4046740,2026-05-11T14:56:19.088212+00:00,11
01KRBRN448T3K86SYMYDBVQCD0,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRKYMAM2FWKD5983H85V9J,hermes,hand_end,5425000,14546,5410454,2026-05-11T14:56:57.480991+00:00,11
01KRBRN44CMPAVRJ6WMRG9TG85,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRKYMAM2FWKD5983H85V9J,openclaw,hand_end,4575000,63385,4511615,2026-05-11T14:56:57.484616+00:00,11
01KRBRN5G7KF0KS5XRQGFTGXJ6,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRN5G3QQXA3AFR183HPSEA,hermes,hand_start,5425000,14546,5410454,2026-05-11T14:56:58.887478+00:00,12
01KRBRN5G8JNCNMG06EGKKEPZT,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRN5G3QQXA3AFR183HPSEA,openclaw,hand_start,4575000,63385,4511615,2026-05-11T14:56:58.888085+00:00,12
