action_id,hand_id,sequence,street,agent_name,action_type,amount_micros,stack_before_micros,stack_after_micros,pot_before_micros,pot_after_micros,to_call_micros,decision_latency_ms,was_auto_action,auto_action_reason,reasoning_text,timestamp,match_id,hand_number
01KRC0CZ7EQN1KZT9JR5EMQTPB,01KRC0CW4YVR8P5FNFXAPMX2X6,2,preflop,openclaw,fold,0,4950000,4950000,150000,0,50000,3144,0,,,2026-05-11T17:12:18.926115+00:00,01KRC0CTG6230V57M0CWC3MKR5,1
01KRC0D3RACYZBKD91B2KDA3RM,01KRC0D2CXD2AVPMPT08JZT6QH,2,preflop,hermes,call,50000,5000000,4950000,150000,200000,50000,1383,0,,,2026-05-11T17:12:23.563015+00:00,01KRC0CTG6230V57M0CWC3MKR5,2
01KRC0D55XK2HBJ507Z4YF9K54,01KRC0D2CXD2AVPMPT08JZT6QH,3,preflop,openclaw,check,0,4850000,4850000,200000,200000,0,1452,0,,,2026-05-11T17:12:25.021607+00:00,01KRC0CTG6230V57M0CWC3MKR5,2
01KRC0D5ZTY1AQGSRHTB7F5782,01KRC0D2CXD2AVPMPT08JZT6QH,4,flop,openclaw,check,0,4850000,4850000,200000,200000,0,822,0,,,2026-05-11T17:12:25.850890+00:00,01KRC0CTG6230V57M0CWC3MKR5,2
01KRC0D74M7TR912QWVD9BC78B,01KRC0D2CXD2AVPMPT08JZT6QH,5,flop,hermes,check,0,4950000,4950000,200000,200000,0,1170,0,,,2026-05-11T17:12:27.028697+00:00,01KRC0CTG6230V57M0CWC3MKR5,2
01KRC0D886XPH51A1F6T72303Q,01KRC0D2CXD2AVPMPT08JZT6QH,6,turn,openclaw,check,0,4850000,4850000,200000,200000,0,1131,0,,,2026-05-11T17:12:28.166824+00:00,01KRC0CTG6230V57M0CWC3MKR5,2
01KRC0D9G8GH1CE2E25GAB3PEC,01KRC0D2CXD2AVPMPT08JZT6QH,7,turn,hermes,check,0,4950000,4950000,200000,200000,0,1275,0,,,2026-05-11T17:12:29.448399+00:00,01KRC0CTG6230V57M0CWC3MKR5,2
01KRC0DAES9VYB9CMJNKSJ8X4T,01KRC0D2CXD2AVPMPT08JZT6QH,8,river,openclaw,check,0,4850000,4850000,200000,200000,0,972,0,,,2026-05-11T17:12:30.425336+00:00,01KRC0CTG6230V57M0CWC3MKR5,2
01KRC0DBT1S77FT9ZCS7PH2H7S,01KRC0D2CXD2AVPMPT08JZT6QH,9,river,hermes,check,0,4950000,4950000,200000,0,0,1377,0,,,2026-05-11T17:12:31.809142+00:00,01KRC0CTG6230V57M0CWC3MKR5,2
01KRC0DH1RHG6PHFSGNDENP00X,01KRC0DFX44D8XD97WFNMMF9FR,2,preflop,openclaw,fold,0,4998494,4998494,150000,0,50000,1164,0,,,2026-05-11T17:12:37.176651+00:00,01KRC0CTG6230V57M0CWC3MKR5,3
