snapshot_id,match_id,hand_id,agent_name,snapshot_type,limit_micros,usage_micros,limit_remaining_micros,timestamp,hand_number
01KRC22WN6M14KEDQKSQ734KFZ,01KRC22WBCVCJK8M78AK74D63Q,,hermes,match_start,5000000,0,5000000,2026-05-11T17:41:45.766066+00:00,
01KRC22WV3K1PX9KT5A5BJT7K8,01KRC22WBCVCJK8M78AK74D63Q,,openclaw,match_start,5000000,0,5000000,2026-05-11T17:41:45.955843+00:00,
01KRC22XT1QG13ZVRE8MAGRX04,01KRC22WBCVCJK8M78AK74D63Q,01KRC22XSZDQC4VSRA1JVYRZWG,hermes,hand_start,5000000,0,5000000,2026-05-11T17:41:46.945659+00:00,1
01KRC22XT24D3XVHHSGX5AVX04,01KRC22WBCVCJK8M78AK74D63Q,01KRC22XSZDQC4VSRA1JVYRZWG,openclaw,hand_start,5000000,0,5000000,2026-05-11T17:41:46.946114+00:00,1
01KRC23F8ZB0RQTY48BM7YG7SG,01KRC22WBCVCJK8M78AK74D63Q,01KRC22XSZDQC4VSRA1JVYRZWG,hermes,hand_end,7750000,2405,7747595,2026-05-11T17:42:04.831261+00:00,1
01KRC23F91628T44D6BH14C0P8,01KRC22WBCVCJK8M78AK74D63Q,01KRC22XSZDQC4VSRA1JVYRZWG,openclaw,hand_end,2250000,1212,2248788,2026-05-11T17:42:04.833566+00:00,1
01KRC23GKBWA4JSXQFJ7BJRQB2,01KRC22WBCVCJK8M78AK74D63Q,01KRC23GK9F79MSVZY8611M7C7,hermes,hand_start,7750000,2405,7747595,2026-05-11T17:42:06.187016+00:00,2
01KRC23GKB76R4JCTST5JP8B0X,01KRC22WBCVCJK8M78AK74D63Q,01KRC23GK9F79MSVZY8611M7C7,openclaw,hand_start,2250000,1447,2248553,2026-05-11T17:42:06.187392+00:00,2
01KRC23YB2X6JEF4QHP6WQS19Z,01KRC22WBCVCJK8M78AK74D63Q,01KRC23GK9F79MSVZY8611M7C7,hermes,hand_end,7650000,5404,7644596,2026-05-11T17:42:20.258969+00:00,2
01KRC23YB3RQB3HXZNCS42BV43,01KRC22WBCVCJK8M78AK74D63Q,01KRC23GK9F79MSVZY8611M7C7,openclaw,hand_end,2350000,2556,2347444,2026-05-11T17:42:20.259935+00:00,2
01KRC23ZNYPEXAC6ZXNPF60JH0,01KRC22WBCVCJK8M78AK74D63Q,01KRC23ZNSD6AFV8A0KN0E04RW,hermes,hand_start,7650000,5404,7644596,2026-05-11T17:42:21.630388+00:00,3
01KRC23ZNZDJJE68VAEKZ66CFS,01KRC22WBCVCJK8M78AK74D63Q,01KRC23ZNSD6AFV8A0KN0E04RW,openclaw,hand_start,2350000,2556,2347444,2026-05-11T17:42:21.631781+00:00,3
01KRC242WZYDH7MBJB4WTM548E,01KRC22WBCVCJK8M78AK74D63Q,01KRC23ZNSD6AFV8A0KN0E04RW,hermes,hand_end,7700000,5404,7694596,2026-05-11T17:42:24.927186+00:00,3
