match_id,hand_id,hand_number,started_at,ended_at,button_agent,winner,win_type,pot_final_micros,action_count,auto_action_count,max_decision_latency_ms,avg_decision_latency_ms,hermes_action_count,openclaw_action_count,error_count,hermes_settlement_delta_micros,openclaw_settlement_delta_micros
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2KXTW9XN87QB5T5YD9DDG,1,2026-05-11T17:51:04.029006+00:00,2026-05-11T17:51:06.334055+00:00,openclaw,hermes,fold,100000,1,0,1894,1894.0,0,1,0,50000,-50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2M2R844EBAKZFKYZPM3MR,2,2026-05-11T17:51:09.064480+00:00,2026-05-11T17:51:11.636886+00:00,hermes,openclaw,fold,100000,1,0,2182,2182.0,1,0,0,-50000,50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2M7XH5BMYWYM6SSJ3VYE8,3,2026-05-11T17:51:14.353180+00:00,2026-05-11T17:51:41.472069+00:00,openclaw,split,showdown,0,8,0,8613,3313.5,4,4,0,0,0
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2N5442BQPJYS3BSKYMQ77,4,2026-05-11T17:51:44.260817+00:00,2026-05-11T17:52:03.780541+00:00,hermes,hermes,fold,900000,10,0,2763,1886.0,4,6,0,450000,-450000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2NTWMJMJMZ4ST0T0XY5WC,5,2026-05-11T17:52:06.548897+00:00,2026-05-11T17:52:19.199350+00:00,openclaw,openclaw,showdown,200000,8,0,1748,1503.625,4,4,0,-100000,100000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2P9YQSTA4PW7M83PD51Q6,6,2026-05-11T17:52:21.975065+00:00,2026-05-11T17:52:24.249204+00:00,hermes,openclaw,fold,100000,1,0,1880,1880.0,1,0,0,-50000,50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2PEV36PMDXBZ6Q5RTA8A4,7,2026-05-11T17:52:26.979858+00:00,2026-05-11T17:52:29.412292+00:00,openclaw,hermes,fold,100000,1,0,2028,2028.0,0,1,0,50000,-50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2PKVNQR8KCY2MQCFXK4HT,8,2026-05-11T17:52:32.117728+00:00,2026-05-11T17:52:55.541376+00:00,hermes,hermes,fold,400000,7,0,5835,3247.1428571428573,3,4,0,200000,-200000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2QF337W7X3FSAYYMK7S59,9,2026-05-11T17:53:00.003351+00:00,2026-05-11T17:53:09.277731+00:00,openclaw,hermes,fold,100000,1,0,6432,6432.0,0,1,0,50000,-50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2QTV6642KSKAJ42TMXEW3,10,2026-05-11T17:53:12.038154+00:00,2026-05-11T17:53:14.054615+00:00,hermes,openclaw,fold,100000,1,0,1616,1616.0,1,0,0,-50000,50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2QZES6PRAH36G78402G6F,11,2026-05-11T17:53:16.761995+00:00,2026-05-11T17:53:47.142305+00:00,openclaw,hermes,showdown,200000,8,0,5757,3716.0,4,4,0,100000,-100000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2RZRHRWP2XH3T334DKW5B,12,2026-05-11T17:53:49.841901+00:00,2026-05-11T17:54:07.201238+00:00,hermes,hermes,showdown,400000,8,0,2104,1660.375,4,4,0,200000,-200000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2SKEJ2R7ENY1X7FQWAGQX,13,2026-05-11T17:54:10.002082+00:00,2026-05-11T17:54:26.833092+00:00,openclaw,openclaw,showdown,500000,8,0,3417,2022.75,4,4,0,-250000,250000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2T6R1XEQJQ6GY57HYE8DW,14,2026-05-11T17:54:29.761382+00:00,2026-05-11T17:54:32.834612+00:00,hermes,openclaw,fold,100000,1,0,2649,2649.0,1,0,0,-50000,50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2TCEAPRVKHFN2VQ4BV2TX,15,2026-05-11T17:54:35.594897+00:00,2026-05-11T17:54:40.608562+00:00,openclaw,hermes,fold,100000,1,0,4611,4611.0,0,1,0,50000,-50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2TKZPNG5EPHGX5ECNP1BT,16,2026-05-11T17:54:43.318390+00:00,2026-05-11T17:54:45.344926+00:00,hermes,openclaw,fold,100000,1,0,1614,1614.0,1,0,0,-50000,50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2TRM7H72M6S8TBKPT19AW,17,2026-05-11T17:54:48.071800+00:00,2026-05-11T17:55:06.473064+00:00,openclaw,openclaw,showdown,200000,8,0,4569,2225.875,4,4,0,-100000,100000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2VES0WHREVP39P7J818XR,18,2026-05-11T17:55:10.752977+00:00,2026-05-11T17:55:12.973475+00:00,hermes,openclaw,fold,100000,1,0,1647,1647.0,1,0,0,-50000,50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2VKHFQY31SC24MJQPGXZD,19,2026-05-11T17:55:15.631641+00:00,2026-05-11T17:55:30.255560+00:00,openclaw,openclaw,showdown,200000,8,0,2568,1745.875,4,4,0,-100000,100000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2W4MMZXRH3ACDX6J9N99S,20,2026-05-11T17:55:33.140165+00:00,2026-05-11T17:55:35.611516+00:00,hermes,openclaw,fold,100000,1,0,2081,2081.0,1,0,0,-50000,50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2W9NH6XNNRRPHQBB4SNGN,21,2026-05-11T17:55:38.289099+00:00,2026-05-11T17:55:40.472596+00:00,openclaw,hermes,fold,100000,1,0,1759,1759.0,0,1,0,50000,-50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2WEFAN9CCG1NFCWNXRPAH,22,2026-05-11T17:55:43.210452+00:00,2026-05-11T17:55:46.343159+00:00,hermes,openclaw,fold,100000,1,0,2721,2721.0,1,0,0,-50000,50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2WMQGA077PW0HFTWZ9B5W,23,2026-05-11T17:55:49.616144+00:00,2026-05-11T17:56:06.267359+00:00,openclaw,hermes,showdown,200000,8,0,2158,1718.0,4,4,0,100000,-100000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2X830MVK1TP1S652B4S54,24,2026-05-11T17:56:09.440407+00:00,2026-05-11T17:56:13.783109+00:00,hermes,openclaw,fold,100000,1,0,3958,3958.0,1,0,0,-50000,50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2XEYDQ2EDW6ZH8MHP7XV7,25,2026-05-11T17:56:16.461329+00:00,2026-05-11T17:56:22.689951+00:00,openclaw,hermes,fold,200000,3,0,2546,1893.6666666666667,1,2,0,100000,-100000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2XTXT8TS00WKF2TZDTJYJ,26,2026-05-11T17:56:28.730776+00:00,2026-05-11T17:56:58.519573+00:00,hermes,hermes,fold,800000,8,0,18568,3643.0,3,5,0,400000,-400000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2YTP84YVHZEVYVRHT9MEX,27,2026-05-11T17:57:01.256910+00:00,2026-05-11T17:57:24.115011+00:00,openclaw,openclaw,showdown,200000,8,0,6126,2777.25,4,4,0,-100000,100000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC2ZKRK7HJHG8A2GDRZ7DCJ,28,2026-05-11T17:57:26.931704+00:00,2026-05-11T17:57:38.576761+00:00,hermes,hermes,fold,400000,5,0,4079,2177.8,2,3,0,200000,-200000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC301SWT15YWDX08XZY88FV,29,2026-05-11T17:57:41.308564+00:00,2026-05-11T17:58:06.461805+00:00,openclaw,hermes,showdown,200000,8,0,12595,3058.625,4,4,0,100000,-100000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC30X1CJ7PKJ2DEARVK78Y1,30,2026-05-11T17:58:09.196090+00:00,2026-05-11T17:58:32.590127+00:00,hermes,hermes,showdown,6000000,11,0,3745,1868.909090909091,4,7,0,3000000,-3000000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC31PJK3D6SQAZ0TCCG9189,31,2026-05-11T17:58:35.347159+00:00,2026-05-11T17:58:37.167613+00:00,openclaw,hermes,fold,100000,1,0,1404,1404.0,0,1,0,50000,-50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC31V0NHK6RE77EQ75NQ27T,32,2026-05-11T17:58:39.893373+00:00,2026-05-11T17:58:56.087691+00:00,hermes,openclaw,fold,100000,1,0,12439,12439.0,1,0,0,-50000,50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC32DM2TERXAYJ48NYN5E83,33,2026-05-11T17:58:58.946208+00:00,2026-05-11T17:59:01.096272+00:00,openclaw,hermes,fold,100000,1,0,1710,1710.0,0,1,0,50000,-50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC32JJ54EAF2BY2P5TQSTCC,34,2026-05-11T17:59:04.005128+00:00,2026-05-11T17:59:07.060388+00:00,hermes,openclaw,fold,100000,1,0,2623,2623.0,1,0,0,-50000,50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC32R9CPCP2GH7XQS50MKA9,35,2026-05-11T17:59:09.869018+00:00,2026-05-11T17:59:11.886751+00:00,openclaw,hermes,fold,100000,1,0,1581,1581.0,0,1,0,50000,-50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC32X0FFZ02KD0MNRA3EXJ3,36,2026-05-11T17:59:14.703734+00:00,2026-05-11T17:59:17.078203+00:00,hermes,openclaw,fold,100000,1,0,1949,1949.0,1,0,0,-50000,50000
01KRC2KW5DNK2Y6SC6NW4NC2CF,01KRC33257K0GJ5BQYAQ0SGQ3Q,37,2026-05-11T17:59:19.975428+00:00,2026-05-11T17:59:21.726442+00:00,openclaw,hermes,fold,100000,1,0,1279,1279.0,0,1,0,50000,-50000
