hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRC392AKQ7HZMGNARSDX8T0P,01KRC390KG1QTZ1RR9M7Q6M81E,1,2026-05-11T18:02:36.755525+00:00,2026-05-11T18:02:39.558271+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:1,8h2s,3c6s,,,,100000,hermes,fold,
01KRC3984AAKYDS2X7G5SY0Q46,01KRC390KG1QTZ1RR9M7Q6M81E,2,2026-05-11T18:02:42.698936+00:00,2026-05-11T18:02:59.016888+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:2,Kc7d,4s9s,4h8d7h,Ac,5h,200000,hermes,showdown,
01KRC39TRZ117R7ST204DYCBWM,01KRC390KG1QTZ1RR9M7Q6M81E,3,2026-05-11T18:03:01.791759+00:00,2026-05-11T18:03:10.039088+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:3,3sTh,9c3c,,,,100000,hermes,fold,
01KRC3A5HT5CMMFDVMTYAEWKGB,01KRC390KG1QTZ1RR9M7Q6M81E,4,2026-05-11T18:03:12.826049+00:00,2026-05-11T18:03:27.026335+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:4,8h7h,6h9s,2h3dJd,Td,Ts,200000,openclaw,showdown,
01KRC3AP4KAHCPYCXPGHE09K53,01KRC390KG1QTZ1RR9M7Q6M81E,5,2026-05-11T18:03:29.812004+00:00,2026-05-11T18:03:32.279328+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:5,7s2s,3hKh,,,,100000,hermes,fold,
01KRC3AV6YAX2NW67FY01J1MHX,01KRC390KG1QTZ1RR9M7Q6M81E,6,2026-05-11T18:03:35.006123+00:00,2026-05-11T18:03:47.347712+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:6,3c5s,AhAs,,,,100000,openclaw,fold,
01KRC3BA6CPHH6XF0H4H7WBDAP,01KRC390KG1QTZ1RR9M7Q6M81E,7,2026-05-11T18:03:50.348266+00:00,2026-05-11T18:03:51.874904+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:7,Kh4d,7s4s,,,,100000,hermes,fold,
01KRC3BEAHYA5HH6XNTW7GFR18,01KRC390KG1QTZ1RR9M7Q6M81E,8,2026-05-11T18:03:54.578011+00:00,2026-05-11T18:03:56.864757+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:8,Jc2d,Tc5c,,,,100000,openclaw,fold,
01KRC3BK7E75XXVW3TDWERJ8TQ,01KRC390KG1QTZ1RR9M7Q6M81E,9,2026-05-11T18:03:59.598307+00:00,2026-05-11T18:04:19.081057+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:9,6d4d,JhQh,8s4c5h,2s,Qs,1600000,openclaw,showdown,
01KRC3C8Y8T1KFKANXZ00EJ8S6,01KRC390KG1QTZ1RR9M7Q6M81E,10,2026-05-11T18:04:21.832377+00:00,2026-05-11T18:04:32.717120+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:10,Jc9s,3s3c,Js4c8d,7h,Qc,200000,hermes,showdown,
