settlement_id,match_id,hand_id,agent_name,limit_before_micros,limit_delta_micros,limit_after_micros,reason,status,timestamp,hand_number
01KRC4KY4P1SEV71QWKRT3N4CA,01KRC4KDV039SQ0BP08XA8FYZ7,01KRC4KFA6RAZ3J7HQ368HG8W1,hermes,5000000,-100000,4900000,hand_loss,confirmed,2026-05-11T18:26:01.494417+00:00,1
01KRC4KY56D4VVDN6A9DTX07ZH,01KRC4KDV039SQ0BP08XA8FYZ7,01KRC4KFA6RAZ3J7HQ368HG8W1,openclaw,5000000,100000,5100000,hand_win,confirmed,2026-05-11T18:26:01.510861+00:00,1
01KRC4M4V0KNJMTS8868RMH12T,01KRC4KDV039SQ0BP08XA8FYZ7,01KRC4M1ACNJ8CS3CBJP5CNPV5,hermes,4900000,100000,5000000,hand_win,confirmed,2026-05-11T18:26:08.352629+00:00,2
01KRC4M4TYNZJGXTXTBVGCMAFX,01KRC4KDV039SQ0BP08XA8FYZ7,01KRC4M1ACNJ8CS3CBJP5CNPV5,openclaw,5100000,-100000,5000000,hand_loss,confirmed,2026-05-11T18:26:08.351004+00:00,2
01KRC4MA4PRWZQHBZXN4MQ0NKF,01KRC4KDV039SQ0BP08XA8FYZ7,01KRC4M7KAHBC6T7JMHGM0AYW4,hermes,5000000,50000,5050000,hand_win,confirmed,2026-05-11T18:26:13.782120+00:00,3
01KRC4MA4Q8ESBZ3CFHXYHBCA1,01KRC4KDV039SQ0BP08XA8FYZ7,01KRC4M7KAHBC6T7JMHGM0AYW4,openclaw,5000000,-50000,4950000,hand_loss,confirmed,2026-05-11T18:26:13.783036+00:00,3
01KRC4MG7BV9946BTGJA4GQE87,01KRC4KDV039SQ0BP08XA8FYZ7,01KRC4MCWHR8654WSCTT8JPGAY,hermes,5050000,-50000,5000000,hand_loss,confirmed,2026-05-11T18:26:20.011713+00:00,4
01KRC4MG7AW5CN234K77CG4MJW,01KRC4KDV039SQ0BP08XA8FYZ7,01KRC4MCWHR8654WSCTT8JPGAY,openclaw,4950000,50000,5000000,hand_win,confirmed,2026-05-11T18:26:20.010923+00:00,4
01KRC4N2S2XS99F41G529A887Q,01KRC4KDV039SQ0BP08XA8FYZ7,01KRC4MJZN1KR13CEWB075ZMSG,hermes,5000000,-100000,4900000,hand_loss,confirmed,2026-05-11T18:26:39.010152+00:00,5
01KRC4N2S2NNBG525AEXXKYRSX,01KRC4KDV039SQ0BP08XA8FYZ7,01KRC4MJZN1KR13CEWB075ZMSG,openclaw,5000000,100000,5100000,hand_win,confirmed,2026-05-11T18:26:39.010749+00:00,5
