action_id,hand_id,sequence,street,agent_name,action_type,amount_micros,stack_before_micros,stack_after_micros,pot_before_micros,pot_after_micros,to_call_micros,decision_latency_ms,was_auto_action,auto_action_reason,reasoning_text,timestamp,match_id,hand_number
01KRC6Q67P591B8JZRACFXZP1Z,01KRC6PTGGWT0SHKE15SQWS1WJ,2,preflop,openclaw,call,50000,4950000,4900000,150000,200000,50000,11994,0,,,2026-05-11T19:02:45.238429+00:00,01KRC6PS1G2E9J57X1KEDBN43G,1
01KRC6Q7QW1E1DMXCKDTDDVVS0,01KRC6PTGGWT0SHKE15SQWS1WJ,3,preflop,hermes,check,0,4900000,4900000,200000,200000,0,1528,0,,,2026-05-11T19:02:46.780574+00:00,01KRC6PS1G2E9J57X1KEDBN43G,1
01KRC6Q9225VFCJSGZZ15G33CJ,01KRC6PTGGWT0SHKE15SQWS1WJ,4,flop,hermes,check,0,4900000,4900000,200000,200000,0,1342,0,,,2026-05-11T19:02:48.130824+00:00,01KRC6PS1G2E9J57X1KEDBN43G,1
01KRC6QAV59K3C4NNSZ5ANSXJX,01KRC6PTGGWT0SHKE15SQWS1WJ,5,flop,openclaw,check,0,4900000,4900000,200000,200000,0,1819,0,,,2026-05-11T19:02:49.957816+00:00,01KRC6PS1G2E9J57X1KEDBN43G,1
01KRC6QC488TP2C4ZJT9RE1XYR,01KRC6PTGGWT0SHKE15SQWS1WJ,6,turn,hermes,check,0,4900000,4900000,200000,200000,0,1306,0,,,2026-05-11T19:02:51.272098+00:00,01KRC6PS1G2E9J57X1KEDBN43G,1
01KRC6QS91ER8K3JV53RG7BRA9,01KRC6PTGGWT0SHKE15SQWS1WJ,7,turn,openclaw,check,0,4900000,4900000,200000,200000,0,13457,0,,,2026-05-11T19:03:04.737458+00:00,01KRC6PS1G2E9J57X1KEDBN43G,1
01KRC6QTQE23MB4VVV5KNGSY1E,01KRC6PTGGWT0SHKE15SQWS1WJ,8,river,hermes,check,0,4900000,4900000,200000,200000,0,1472,0,,,2026-05-11T19:03:06.222601+00:00,01KRC6PS1G2E9J57X1KEDBN43G,1
01KRC6QX5D2ENHZ6QJD7T5KXFE,01KRC6PTGGWT0SHKE15SQWS1WJ,9,river,openclaw,check,0,4900000,5100000,200000,0,0,2478,0,,,2026-05-11T19:03:08.717771+00:00,01KRC6PS1G2E9J57X1KEDBN43G,1
01KRC6R38VWTE6BQBQJB32TCMG,01KRC6R0H31EWGJC9F40Z5C28J,2,preflop,hermes,call,50000,4840395,4790395,150000,200000,50000,2800,0,,,2026-05-11T19:03:14.971920+00:00,01KRC6PS1G2E9J57X1KEDBN43G,2
01KRC6R4FZZSC1WSZR65EHRYWG,01KRC6R0H31EWGJC9F40Z5C28J,3,preflop,openclaw,check,0,4999318,4999318,200000,200000,0,1242,0,,,2026-05-11T19:03:16.223628+00:00,01KRC6PS1G2E9J57X1KEDBN43G,2
