hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRC6PTGGWT0SHKE15SQWS1WJ,01KRC6PS1G2E9J57X1KEDBN43G,1,2026-05-11T19:02:33.232620+00:00,2026-05-11T19:03:09.277496+00:00,openclaw,01KRC6PS1G2E9J57X1KEDBN43G:1,Ks7c,3cQc,4c3s9d,Ah,2c,200000,openclaw,showdown,
01KRC6R0H31EWGJC9F40Z5C28J,01KRC6PS1G2E9J57X1KEDBN43G,2,2026-05-11T19:03:12.163114+00:00,2026-05-11T19:03:35.610305+00:00,hermes,01KRC6PS1G2E9J57X1KEDBN43G:2,6c4d,4hQs,JdKc3d,7d,3h,200000,openclaw,showdown,
01KRC6RT11BD6JGGFFC3QRMK9N,01KRC6PS1G2E9J57X1KEDBN43G,3,2026-05-11T19:03:38.273100+00:00,2026-05-11T19:03:56.285042+00:00,openclaw,01KRC6PS1G2E9J57X1KEDBN43G:3,Qs4d,As2c,6sJc6d,2h,Ac,200000,openclaw,fold,
01KRC6SE78ZGF8TR6QBVZXPJ87,01KRC6PS1G2E9J57X1KEDBN43G,4,2026-05-11T19:03:58.952665+00:00,2026-05-11T19:04:09.844868+00:00,hermes,01KRC6PS1G2E9J57X1KEDBN43G:4,9sAs,5dKh,6d3cJd,,,450000,hermes,fold,
01KRC6SVHFGW2825ZJXFHQR5KB,01KRC6PS1G2E9J57X1KEDBN43G,5,2026-05-11T19:04:12.591810+00:00,2026-05-11T19:04:24.756537+00:00,openclaw,01KRC6PS1G2E9J57X1KEDBN43G:5,Ah5h,6d2s,,,,100000,hermes,fold,
01KRC6TA7ZV23YSMQX39HFEM71,01KRC6PS1G2E9J57X1KEDBN43G,6,2026-05-11T19:04:27.647806+00:00,2026-05-11T19:04:37.125844+00:00,hermes,01KRC6PS1G2E9J57X1KEDBN43G:6,Kh6h,Js7h,3h4dQh,,,400000,hermes,fold,
01KRC6TP2XPWNG2J6PKHR4X9M5,01KRC6PS1G2E9J57X1KEDBN43G,7,2026-05-11T19:04:39.773290+00:00,2026-05-11T19:04:56.947100+00:00,openclaw,01KRC6PS1G2E9J57X1KEDBN43G:7,Tc7s,Ad4h,As6c5d,Kd,8d,200000,openclaw,showdown,
01KRC6V9JP8PRDCM8SSQZYMC0F,01KRC6PS1G2E9J57X1KEDBN43G,8,2026-05-11T19:04:59.735004+00:00,2026-05-11T19:05:26.274589+00:00,hermes,01KRC6PS1G2E9J57X1KEDBN43G:8,AhKd,8h7d,4d6d7h,Qd,,1200000,hermes,fold,
01KRC6W7ACR5DG2EHE9BN4JVW9,01KRC6PS1G2E9J57X1KEDBN43G,9,2026-05-11T19:05:30.188966+00:00,2026-05-11T19:05:32.972582+00:00,openclaw,01KRC6PS1G2E9J57X1KEDBN43G:9,As5c,Jh4s,,,,100000,hermes,fold,
01KRC6WCSYK8E8MA962147EA66,01KRC6PS1G2E9J57X1KEDBN43G,10,2026-05-11T19:05:35.806412+00:00,2026-05-11T19:05:52.455062+00:00,hermes,01KRC6PS1G2E9J57X1KEDBN43G:10,5cQd,6s8s,Kd5s9d,,,200000,hermes,fold,
