snapshot_id,match_id,hand_id,agent_name,snapshot_type,limit_micros,usage_micros,limit_remaining_micros,timestamp,hand_number
01KRC6PSBC3S4JS45CP17R3WVW,01KRC6PS1G2E9J57X1KEDBN43G,,hermes,match_start,5000000,0,5000000,2026-05-11T19:02:32.044121+00:00,
01KRC6PSHBGZ3MW2ABNVQE95GP,01KRC6PS1G2E9J57X1KEDBN43G,,openclaw,match_start,5000000,0,5000000,2026-05-11T19:02:32.235196+00:00,
01KRC6PTGJTWPZ3GJS54636D97,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6PTGGWT0SHKE15SQWS1WJ,hermes,hand_start,5000000,0,5000000,2026-05-11T19:02:33.234199+00:00,1
01KRC6PTGJXPQ2YR6ZE02WR0PD,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6PTGGWT0SHKE15SQWS1WJ,openclaw,hand_start,5000000,0,5000000,2026-05-11T19:02:33.234479+00:00,1
01KRC6QZ5609RJ26289FNB8HKM,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6PTGGWT0SHKE15SQWS1WJ,hermes,hand_end,4900000,9605,4890395,2026-05-11T19:03:10.758243+00:00,1
01KRC6QZ590JNCXBJEQFNR5KNN,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6PTGGWT0SHKE15SQWS1WJ,openclaw,hand_end,5100000,301,5099699,2026-05-11T19:03:10.761669+00:00,1
01KRC6R0H5VNAZDXH4194C9641,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6R0H31EWGJC9F40Z5C28J,hermes,hand_start,4900000,9605,4890395,2026-05-11T19:03:12.165191+00:00,2
01KRC6R0H5MBGEJP90XMCZP6XG,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6R0H31EWGJC9F40Z5C28J,openclaw,hand_start,5100000,682,5099318,2026-05-11T19:03:12.165486+00:00,2
01KRC6RRP022TECBE9FR48Y1T9,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6R0H31EWGJC9F40Z5C28J,hermes,hand_end,4800000,19295,4780705,2026-05-11T19:03:36.896458+00:00,2
01KRC6RRP33R87A1T7YCEZWAE6,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6R0H31EWGJC9F40Z5C28J,openclaw,hand_end,5200000,2574,5197426,2026-05-11T19:03:36.899886+00:00,2
01KRC6RT13YERZR89WFSW1PT4J,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6RT11BD6JGGFFC3QRMK9N,hermes,hand_start,4800000,19295,4780705,2026-05-11T19:03:38.275396+00:00,3
01KRC6RT13Y2C3D48PH4KJRPDM,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6RT11BD6JGGFFC3QRMK9N,openclaw,hand_start,5200000,2574,5197426,2026-05-11T19:03:38.276007+00:00,3
01KRC6SCVXMXK4D7VQYAWCQGZB,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6RT11BD6JGGFFC3QRMK9N,hermes,hand_end,4700000,28920,4671080,2026-05-11T19:03:57.565776+00:00,3
01KRC6SCVZNXYQB05ZEM4386WS,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6RT11BD6JGGFFC3QRMK9N,openclaw,hand_end,5300000,3907,5296093,2026-05-11T19:03:57.567932+00:00,3
01KRC6SE7BZ1B4TR1XS2WWW1D3,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6SE78ZGF8TR6QBVZXPJ87,hermes,hand_start,4700000,32130,4667870,2026-05-11T19:03:58.955321+00:00,4
01KRC6SE7BTMT98CF5TKQPAG3Y,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6SE78ZGF8TR6QBVZXPJ87,openclaw,hand_start,5300000,4515,5295485,2026-05-11T19:03:58.955802+00:00,4
01KRC6ST6B7RZNVNH54C8BYJ62,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6SE78ZGF8TR6QBVZXPJ87,hermes,hand_end,4925000,45050,4879950,2026-05-11T19:04:11.211128+00:00,4
01KRC6ST6EA7NYB22QHZ6BBY04,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6SE78ZGF8TR6QBVZXPJ87,openclaw,hand_end,5075000,6235,5068765,2026-05-11T19:04:11.214850+00:00,4
01KRC6SVHGW7Q3ECMBRMYQ8JF2,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6SVHFGW2825ZJXFHQR5KB,hermes,hand_start,4925000,45050,4879950,2026-05-11T19:04:12.592850+00:00,5
01KRC6SVHH1220YH5G0MGM9N9Y,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6SVHFGW2825ZJXFHQR5KB,openclaw,hand_start,5075000,6235,5068765,2026-05-11T19:04:12.593136+00:00,5
01KRC6T8WF0W6QBZVS8DA8YH2X,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6SVHFGW2825ZJXFHQR5KB,hermes,hand_end,4975000,48375,4926625,2026-05-11T19:04:26.255887+00:00,5
01KRC6T8WJ7E9H3J7VPFJ3CFXG,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6SVHFGW2825ZJXFHQR5KB,openclaw,hand_end,5025000,6826,5018174,2026-05-11T19:04:26.258958+00:00,5
01KRC6TA82711NXGESN5JZ28K8,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6TA7ZV23YSMQX39HFEM71,hermes,hand_start,4975000,48375,4926625,2026-05-11T19:04:27.650290+00:00,6
01KRC6TA83MY1BDR52PBGCXPF2,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6TA7ZV23YSMQX39HFEM71,openclaw,hand_start,5025000,6826,5018174,2026-05-11T19:04:27.651098+00:00,6
01KRC6TMQQMGXV3FAXFXF8AT6J,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6TA7ZV23YSMQX39HFEM71,hermes,hand_end,5175000,51630,5123370,2026-05-11T19:04:38.391710+00:00,6
