settlement_id,match_id,hand_id,agent_name,limit_before_micros,limit_delta_micros,limit_after_micros,reason,status,timestamp,hand_number
01KRC89GFN9T6KEGH9TXWABXVE,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8968JA5KBG1G0099A26Y4,hermes,5000000,-100000,4900000,hand_loss,confirmed,2026-05-11T19:30:14.133752+00:00,1
01KRC89GFQM1W42DDDVM7JTWXS,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8968JA5KBG1G0099A26Y4,openclaw,5000000,100000,5100000,hand_win,confirmed,2026-05-11T19:30:14.135728+00:00,1
01KRC8A1934T3ARN0PPPEXWG5R,01KRC894R7SVDC4PP72FEFYEMQ,01KRC89K5295YEQXD5538VYY0K,hermes,4900000,-100000,4800000,hand_loss,confirmed,2026-05-11T19:30:31.331576+00:00,2
01KRC8A1922KGWV4NRS2RW3ES6,01KRC894R7SVDC4PP72FEFYEMQ,01KRC89K5295YEQXD5538VYY0K,openclaw,5100000,100000,5200000,hand_win,confirmed,2026-05-11T19:30:31.331000+00:00,2
01KRC8A5YSP26T3T62YY5BZPHC,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8A3XX7Y03Y7DCWV61YTXZ,hermes,4800000,50000,4850000,hand_win,confirmed,2026-05-11T19:30:36.121300+00:00,3
01KRC8A5YT2TQ6TFT363WMJT24,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8A3XX7Y03Y7DCWV61YTXZ,openclaw,5200000,-50000,5150000,hand_loss,confirmed,2026-05-11T19:30:36.122467+00:00,3
01KRC8AC0XH369JZ06QV9RN6VG,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8A8HRG9DTJF34JTEEB325,hermes,4850000,-50000,4800000,hand_loss,confirmed,2026-05-11T19:30:42.333995+00:00,4
01KRC8AC0XQV0YHEBWR66DVRZH,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8A8HRG9DTJF34JTEEB325,openclaw,5150000,50000,5200000,hand_win,confirmed,2026-05-11T19:30:42.333263+00:00,4
01KRC8AKP5R99EKJMGQJGR88JT,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8AEKFDHP3S4YTTHPA59BD,hermes,4800000,-100000,4700000,hand_loss,confirmed,2026-05-11T19:30:50.181857+00:00,5
01KRC8AKP6JEV6PFMR922BVJ98,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8AEKFDHP3S4YTTHPA59BD,openclaw,5200000,100000,5300000,hand_win,confirmed,2026-05-11T19:30:50.182631+00:00,5
01KRC8ASKGEF7PBZ1FJZ4H3WGG,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8AP8GF24HR46YTBVWNH48,hermes,4700000,-50000,4650000,hand_loss,confirmed,2026-05-11T19:30:56.240149+00:00,6
01KRC8ASKF7STDE0N61KE576N1,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8AP8GF24HR46YTBVWNH48,openclaw,5300000,50000,5350000,hand_win,confirmed,2026-05-11T19:30:56.239376+00:00,6
01KRC8B1MS9A4338HBBMRH261A,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8AW78XVMYKVFW0R2KJPRB,hermes,4650000,-100000,4550000,hand_loss,confirmed,2026-05-11T19:31:04.473648+00:00,7
01KRC8B1MTADH6GF9AKT26QCP4,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8AW78XVMYKVFW0R2KJPRB,openclaw,5350000,100000,5450000,hand_win,confirmed,2026-05-11T19:31:04.474365+00:00,7
01KRC8BNG8SPN4SHRNXX97NWJ7,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8B48K07Q85JEHJZ2QESVY,hermes,4550000,100000,4650000,hand_win,confirmed,2026-05-11T19:31:24.809034+00:00,8
01KRC8BNG772R01SEQ2CTKQJB5,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8B48K07Q85JEHJZ2QESVY,openclaw,5450000,-100000,5350000,hand_loss,confirmed,2026-05-11T19:31:24.807751+00:00,8
01KRC8BT9RBM6J9X8GAKHDF71V,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8BR9YGTNYD0JJEVZVKQV5,hermes,4650000,50000,4700000,hand_win,confirmed,2026-05-11T19:31:29.720302+00:00,9
01KRC8BT9SGK5ZZJ83ZCA4GTXW,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8BR9YGTNYD0JJEVZVKQV5,openclaw,5350000,-50000,5300000,hand_loss,confirmed,2026-05-11T19:31:29.721157+00:00,9
01KRC8BZ03VX7KZCJPPER5GKGA,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8BX0KQ1FBJTVEV0FH4PGF,hermes,4700000,-50000,4650000,hand_loss,confirmed,2026-05-11T19:31:34.531706+00:00,10
01KRC8BZ01VTR16YH0B30P9RH6,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8BX0KQ1FBJTVEV0FH4PGF,openclaw,5300000,50000,5350000,hand_win,confirmed,2026-05-11T19:31:34.530039+00:00,10
01KRC8C5DTWAMQ1985WSYKAHF2,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8C1PADY8BF2C4ZT6EQZDJ,hermes,4650000,-100000,4550000,hand_loss,confirmed,2026-05-11T19:31:41.114100+00:00,11
01KRC8C5DV5CTMFRDTVS0MPQCF,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8C1PADY8BF2C4ZT6EQZDJ,openclaw,5350000,100000,5450000,hand_win,confirmed,2026-05-11T19:31:41.115089+00:00,11
01KRC8D7BR8Z6J1ET6SYWJ0M50,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8C8359RDDGDJ8T8E8FC39,hermes,4550000,100000,4650000,hand_win,confirmed,2026-05-11T19:32:15.864168+00:00,12
01KRC8D7BPDCDBV97VN4YFFH0W,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8C8359RDDGDJ8T8E8FC39,openclaw,5450000,-100000,5350000,hand_loss,confirmed,2026-05-11T19:32:15.862909+00:00,12
01KRC8DP2TKVT1ST1KF49W6R2N,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8DA453E55CFJ8RX4YB4NH,hermes,4650000,-250000,4400000,hand_loss,confirmed,2026-05-11T19:32:30.938801+00:00,13
01KRC8DP2VXQ999CYTDKF6PCVK,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8DA453E55CFJ8RX4YB4NH,openclaw,5350000,250000,5600000,hand_win,confirmed,2026-05-11T19:32:30.939722+00:00,13
01KRC8EJKEQ9715EGPNAY32MZD,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8DRTJ4F67AHRQ0J1W7HPV,hermes,4400000,-100000,4300000,hand_loss,confirmed,2026-05-11T19:33:00.142538+00:00,14
01KRC8EJKDR6KWVEAQ3BGRPMV6,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8DRTJ4F67AHRQ0J1W7HPV,openclaw,5600000,100000,5700000,hand_win,confirmed,2026-05-11T19:33:00.141721+00:00,14
01KRC8ESMB381186WJ00KJVYX8,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8EN7RKNPK3S3NQ1TT8XB0,hermes,4300000,-100000,4200000,hand_loss,confirmed,2026-05-11T19:33:07.339164+00:00,15
01KRC8ESMCNDMQH8ZSGWXPN08S,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8EN7RKNPK3S3NQ1TT8XB0,openclaw,5700000,100000,5800000,hand_win,confirmed,2026-05-11T19:33:07.340181+00:00,15
01KRC8F1YEEXRBKDMWDHW1WJTE,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8EW9R0FVV21K5PG2QSAX1,hermes,4200000,100000,4300000,hand_win,confirmed,2026-05-11T19:33:15.854498+00:00,16
01KRC8F1YDNRAMME48EZHVNGBB,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8EW9R0FVV21K5PG2QSAX1,openclaw,5800000,-100000,5700000,hand_loss,confirmed,2026-05-11T19:33:15.853162+00:00,16
01KRC8FGCD61816ND1NXMTPEV5,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8F4JWHSPJ7BS800GC4RVM,hermes,4300000,-100000,4200000,hand_loss,confirmed,2026-05-11T19:33:30.637272+00:00,17
01KRC8FGCE38ZC6Q4S6RFRA5FG,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8F4JWHSPJ7BS800GC4RVM,openclaw,5700000,100000,5800000,hand_win,confirmed,2026-05-11T19:33:30.638211+00:00,17
01KRC8GP077ES7MQAEC0QEYWTK,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8FJZTNVJDJH9KKJKXZ8D9,hermes,4200000,200000,4400000,hand_win,confirmed,2026-05-11T19:34:09.159395+00:00,18
01KRC8GP06JNEE10BYTSYRYEFV,01KRC894R7SVDC4PP72FEFYEMQ,01KRC8FJZTNVJDJH9KKJKXZ8D9,openclaw,5800000,-200000,5600000,hand_loss,confirmed,2026-05-11T19:34:09.158115+00:00,18
