hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRH1Z36GFNMXB2W659JDHTMF,01KRH1Z1C1WG2QAPJ3Q1G85W38,1,2026-05-13T16:15:53.552113+00:00,2026-05-13T16:16:15.975642+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:1,Qh5h,Qc9s,,,,200000,openclaw,fold,
01KRH1ZVS2WEHH62SR4J08103Q,01KRH1Z1C1WG2QAPJ3Q1G85W38,2,2026-05-13T16:16:18.722306+00:00,2026-05-13T16:16:24.242519+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:2,7s3d,3hAs,,,,100000,openclaw,fold,
01KRH2040PCDJDNNSKMFMKC29E,01KRH1Z1C1WG2QAPJ3Q1G85W38,3,2026-05-13T16:16:27.158963+00:00,2026-05-13T16:16:35.850774+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:3,Jd7h,QhTd,,,,200000,openclaw,fold,
01KRH20F8DZC0D15WGEB4635TG,01KRH1Z1C1WG2QAPJ3Q1G85W38,4,2026-05-13T16:16:38.669977+00:00,2026-05-13T16:16:43.325338+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:4,8s2c,9c6s,,,,100000,openclaw,fold,
01KRH20PF50NATRPB4MFFN9V4G,01KRH1Z1C1WG2QAPJ3Q1G85W38,5,2026-05-13T16:16:46.053970+00:00,2026-05-13T16:16:57.436697+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:5,Qc8s,JcQs,,,,200000,openclaw,fold,
01KRH2149QEM4AY37Q59MSVNYZ,01KRH1Z1C1WG2QAPJ3Q1G85W38,6,2026-05-13T16:17:00.215245+00:00,2026-05-13T16:17:07.318942+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:6,8c4h,9s8h,,,,100000,openclaw,fold,
01KRH21E04SM8SJMX2VNX7JNPE,01KRH1Z1C1WG2QAPJ3Q1G85W38,7,2026-05-13T16:17:10.148443+00:00,2026-05-13T16:17:33.931345+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:7,5hKh,7hTd,4cTs2h,,,200000,openclaw,fold,
01KRH2286S0XG0MD69KMWP3T5T,01KRH1Z1C1WG2QAPJ3Q1G85W38,8,2026-05-13T16:17:36.985435+00:00,2026-05-13T16:18:20.362736+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:8,8c7c,7d7h,5sJcKc,8s,6d,1200000,hermes,showdown,
01KRH23N7TY27T2QG4K0YWD209,01KRH1Z1C1WG2QAPJ3Q1G85W38,9,2026-05-13T16:18:23.098106+00:00,2026-05-13T16:18:29.495158+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:9,Js2c,9dTd,,,,200000,openclaw,fold,
01KRH23Y6G2HG6R9X2ANPQ0E9W,01KRH1Z1C1WG2QAPJ3Q1G85W38,10,2026-05-13T16:18:32.272236+00:00,2026-05-13T16:18:56.913529+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:10,4c5c,5d8h,Js8s2s,Ts,7h,200000,openclaw,showdown,
01KRH24RYMS42FFJS9C3SXV296,01KRH1Z1C1WG2QAPJ3Q1G85W38,11,2026-05-13T16:18:59.668613+00:00,2026-05-13T16:19:24.962180+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:11,8d9d,7c4c,JdAhTs,2h,Ac,200000,hermes,showdown,
01KRH25MCE0GFSSFDKXV3Z8E5D,01KRH1Z1C1WG2QAPJ3Q1G85W38,12,2026-05-13T16:19:27.758780+00:00,2026-05-13T16:19:32.479279+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:12,3hJc,5hQc,,,,100000,openclaw,fold,
01KRH25VMQM0GWCT6S0WDK0ZVZ,01KRH1Z1C1WG2QAPJ3Q1G85W38,13,2026-05-13T16:19:35.191881+00:00,2026-05-13T16:20:23.843364+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:13,Ac6h,2sQs,KdAsQc,Qh,3h,3000000,openclaw,showdown,
01KRH27DTEQJQ8VGJAM4ZAYRKV,01KRH1Z1C1WG2QAPJ3Q1G85W38,14,2026-05-13T16:20:26.574372+00:00,2026-05-13T16:20:38.888354+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:14,TcQd,AdKh,,,,400000,openclaw,fold,
01KRH27WFND8JEXHPKT9AE07MG,01KRH1Z1C1WG2QAPJ3Q1G85W38,15,2026-05-13T16:20:41.589175+00:00,2026-05-13T16:20:45.252278+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:15,AsQc,3hTs,,,,100000,hermes,fold,
01KRH282P0ASY7Y36W1X1EAM1H,01KRH1Z1C1WG2QAPJ3Q1G85W38,16,2026-05-13T16:20:47.936749+00:00,2026-05-13T16:20:52.034476+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:16,3c5h,Kh5d,,,,100000,openclaw,fold,
01KRH289A66CV11GVKJCXMY7VH,01KRH1Z1C1WG2QAPJ3Q1G85W38,17,2026-05-13T16:20:54.726999+00:00,2026-05-13T16:21:25.476202+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:17,JcKs,TsAh,QcKhTc,8s,4h,1000000,hermes,showdown,
01KRH29A2KWRSC0DHEPW7W8FMR,01KRH1Z1C1WG2QAPJ3Q1G85W38,18,2026-05-13T16:21:28.275951+00:00,2026-05-13T16:21:32.272406+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:18,6d9d,Jc7c,,,,100000,openclaw,fold,
