action_id,hand_id,sequence,street,agent_name,action_type,amount_micros,stack_before_micros,stack_after_micros,pot_before_micros,pot_after_micros,to_call_micros,decision_latency_ms,was_auto_action,auto_action_reason,reasoning_text,timestamp,match_id,hand_number
01KRH5TG767MXQ3X9XP3QPTAND,01KRH5TEDYWG826T2K27GDWJ5Y,2,preflop,openclaw,raise,250000,4950000,4750000,150000,350000,50000,1821,0,,,2026-05-13T17:23:17.350510+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,1
01KRH5TM53F7KWNWRJD80CATB1,01KRH5TEDYWG826T2K27GDWJ5Y,3,preflop,hermes,fold,0,4900000,4900000,350000,0,150000,4010,0,,,2026-05-13T17:23:21.379679+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,1
01KRH5TY1KA6MK60ESS36YCG2Z,01KRH5TQPMKS12EJQ74EJKVSKT,2,preflop,hermes,call,50000,4850000,4800000,150000,200000,50000,6482,0,,,2026-05-13T17:23:31.507849+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,2
01KRH5V00GPDE258VGSP2YRCSH,01KRH5TQPMKS12EJQ74EJKVSKT,3,preflop,openclaw,check,0,5000000,5000000,200000,200000,0,2000,0,,,2026-05-13T17:23:33.520496+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,2
01KRH5V1VFZK7MDY2Y0KF9N9BS,01KRH5TQPMKS12EJQ74EJKVSKT,4,flop,openclaw,check,0,5000000,5000000,200000,200000,0,1871,0,,,2026-05-13T17:23:35.407217+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,2
01KRH5V8XWNZ1Z94736008GZ3V,01KRH5TQPMKS12EJQ74EJKVSKT,5,flop,hermes,check,0,4800000,4800000,200000,200000,0,7234,0,,,2026-05-13T17:23:42.652598+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,2
01KRH5VAV4P3M12AC0Q9ZRT0NS,01KRH5TQPMKS12EJQ74EJKVSKT,6,turn,openclaw,raise,100000,5000000,4900000,200000,300000,0,1948,0,,,2026-05-13T17:23:44.612420+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,2
01KRH5VEZF1E150F90MEY7X08K,01KRH5TQPMKS12EJQ74EJKVSKT,7,turn,hermes,call,100000,4800000,4700000,300000,400000,100000,4223,0,,,2026-05-13T17:23:48.847230+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,2
01KRH5VHBPDKJ869N5XGTTSXSB,01KRH5TQPMKS12EJQ74EJKVSKT,8,river,openclaw,raise,250000,4900000,4650000,400000,650000,0,2425,0,,,2026-05-13T17:23:51.286088+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,2
01KRH5VN8SZGJE3CQNWAXHYYT2,01KRH5TQPMKS12EJQ74EJKVSKT,9,river,hermes,call,250000,4700000,5350000,650000,0,250000,3981,0,,,2026-05-13T17:23:55.289620+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,2
01KRH5VV6C659XDDJDB42Z07MW,01KRH5VS60GSWQ924M1P25T5RA,2,preflop,openclaw,raise,250000,4589960,4389960,150000,350000,50000,2048,0,,,2026-05-13T17:24:01.356294+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,3
01KRH5VZXRCFV11YQ4JZECMDCS,01KRH5VS60GSWQ924M1P25T5RA,3,preflop,hermes,fold,0,5243118,5243118,350000,0,150000,4831,0,,,2026-05-13T17:24:06.200324+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,3
01KRH5WBEM5E85WMCXV97GKWC0,01KRH5W311VCD0JF2FV0PWPE5K,2,preflop,hermes,fold,0,5186946,5186946,150000,0,50000,8613,0,,,2026-05-13T17:24:18.005028+00:00,01KRH5TCZBZPEEG5KWKBTCJC51,4
