settlement_id,match_id,hand_id,agent_name,limit_before_micros,limit_delta_micros,limit_after_micros,reason,status,timestamp,hand_number
01KRH5TMY1947E21R468PEYMVE,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5TEDYWG826T2K27GDWJ5Y,hermes,5000000,-100000,4900000,hand_loss,confirmed,2026-05-13T17:23:22.177694+00:00,1
01KRH5TMY3S9HQ2786Q74KK330,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5TEDYWG826T2K27GDWJ5Y,openclaw,5000000,100000,5100000,hand_win,confirmed,2026-05-13T17:23:22.179262+00:00,1
01KRH5VNRH5XG4RMFQ4H1E1E2W,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5TQPMKS12EJQ74EJKVSKT,hermes,4900000,450000,5350000,hand_win,confirmed,2026-05-13T17:23:55.793256+00:00,2
01KRH5VNRGVPZYWJ0SXNJX8MWH,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5TQPMKS12EJQ74EJKVSKT,openclaw,5100000,-450000,4650000,hand_loss,confirmed,2026-05-13T17:23:55.792443+00:00,2
01KRH5W0E86HAQ0YRKCYYQP0XV,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5VS60GSWQ924M1P25T5RA,hermes,5350000,-100000,5250000,hand_loss,confirmed,2026-05-13T17:24:06.728050+00:00,3
01KRH5W0E9T4MSH6ZTVMH5RTV7,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5VS60GSWQ924M1P25T5RA,openclaw,4650000,100000,4750000,hand_win,confirmed,2026-05-13T17:24:06.729126+00:00,3
01KRH5WD8BDGA6ZZTRWZZS9DQV,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5W311VCD0JF2FV0PWPE5K,hermes,5250000,-50000,5200000,hand_loss,confirmed,2026-05-13T17:24:19.851403+00:00,4
01KRH5WD8ACJPB648H1ZXB7XHY,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5W311VCD0JF2FV0PWPE5K,openclaw,4750000,50000,4800000,hand_win,confirmed,2026-05-13T17:24:19.850800+00:00,4
01KRH5XBV3FDHJD8NJYEDTQ97Y,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5WFW3P1B4804HZJH98ZF9,hermes,5200000,-250000,4950000,hand_loss,confirmed,2026-05-13T17:24:51.171843+00:00,5
01KRH5XBV4EXMR0S31XCKA6H6Q,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5WFW3P1B4804HZJH98ZF9,openclaw,4800000,250000,5050000,hand_win,confirmed,2026-05-13T17:24:51.172797+00:00,5
01KRH5XJX2P8HC6NHJ3PDP1YXE,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5XEJ8HMREKMDKX03TP9KY,hermes,4950000,-50000,4900000,hand_loss,confirmed,2026-05-13T17:24:58.402637+00:00,6
01KRH5XJX1MAECH0MHKM7MGPYB,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5XEJ8HMREKMDKX03TP9KY,openclaw,5050000,50000,5100000,hand_win,confirmed,2026-05-13T17:24:58.401728+00:00,6
01KRH5YS7N9P8091H6ZESDKVM9,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5XNMTB4EH99BHHZPY9ADR,hermes,4900000,-250000,4650000,hand_loss,confirmed,2026-05-13T17:25:37.653093+00:00,7
01KRH5YS7P2G106E817G7AJBMR,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5XNMTB4EH99BHHZPY9ADR,openclaw,5100000,250000,5350000,hand_win,confirmed,2026-05-13T17:25:37.654122+00:00,7
01KRH5Z104RJYQ7Q5Y36FR7FTZ,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5YW0KWSY53RES9NN3988T,hermes,4650000,-50000,4600000,hand_loss,confirmed,2026-05-13T17:25:45.604744+00:00,8
01KRH5Z103WDZ7YVCZ91AAKV5F,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5YW0KWSY53RES9NN3988T,openclaw,5350000,50000,5400000,hand_win,confirmed,2026-05-13T17:25:45.603819+00:00,8
01KRH5ZQSCC279SHSY6WBCBT6F,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5Z3PKC1KPBA3DF40MQFPH,hermes,4600000,4565060,9165060,hand_win,confirmed,2026-05-13T17:26:08.940949+00:00,9
01KRH5ZQSDF0T43E61FQA32P2H,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5Z3PKC1KPBA3DF40MQFPH,openclaw,5400000,-4565060,834940,hand_loss,confirmed,2026-05-13T17:26:08.941929+00:00,9
01KRH5ZYSRVRGNMJFXNYGXSSM3,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5ZTQJ94YHCD8KVDQSRC8W,hermes,9165060,-50000,9115060,hand_loss,confirmed,2026-05-13T17:26:16.120648+00:00,10
01KRH5ZYSQ85E71PXXT9J5DQDB,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH5ZTQJ94YHCD8KVDQSRC8W,openclaw,834940,50000,884940,hand_win,confirmed,2026-05-13T17:26:16.119713+00:00,10
01KRH60423Y82M9E00E6F74E30,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH601EHWVY4JPQV37WNPWZC,hermes,9115060,50000,9165060,hand_win,confirmed,2026-05-13T17:26:21.507602+00:00,11
01KRH604246MNSK9SPCMM5T61W,01KRH5TCZBZPEEG5KWKBTCJC51,01KRH601EHWVY4JPQV37WNPWZC,openclaw,884940,-50000,834940,hand_loss,confirmed,2026-05-13T17:26:21.508751+00:00,11
