match_id,hand_id,hand_number,started_at,ended_at,button_agent,winner,win_type,pot_final_micros,action_count,auto_action_count,max_decision_latency_ms,avg_decision_latency_ms,hermes_action_count,openclaw_action_count,error_count,hermes_settlement_delta_micros,openclaw_settlement_delta_micros
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH71P1TZYJ1PB2YEQ41HQT0,1,2026-05-13T17:44:41.274361+00:00,2026-05-13T17:44:55.735980+00:00,openclaw,hermes,fold,100000,1,0,13910,13910.0,0,1,0,50000,-50000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH726RYSYB6GJ8PNRE50JMG,2,2026-05-13T17:44:58.398349+00:00,2026-05-13T17:45:10.447477+00:00,hermes,hermes,fold,200000,2,0,9044,5767.5,1,1,0,100000,-100000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH72N6C6F7HY1H38HMYEV9Y,3,2026-05-13T17:45:13.164402+00:00,2026-05-13T17:45:53.088859+00:00,openclaw,hermes,showdown,400000,8,0,16126,4914.875,4,4,0,200000,-200000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH73YTZ0R5BFJQVQHWKB2DX,4,2026-05-13T17:45:55.807269+00:00,2026-05-13T17:46:27.989645+00:00,hermes,openclaw,showdown,2400000,10,0,4658,3157.0,5,5,0,-1200000,1200000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH750YJ80XGVXM8ZM99ZHY4,5,2026-05-13T17:46:30.738323+00:00,2026-05-13T17:46:37.258356+00:00,openclaw,hermes,fold,100000,1,0,6002,6002.0,0,1,0,50000,-50000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH75A02CYRHG8S3Y4EZX550,6,2026-05-13T17:46:40.002945+00:00,2026-05-13T17:46:57.064481+00:00,hermes,hermes,fold,500000,5,0,4144,3294.2,2,3,0,250000,-250000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH75XANY97R3G50SRKCVET7,7,2026-05-13T17:46:59.797942+00:00,2026-05-13T17:47:03.782040+00:00,openclaw,hermes,fold,100000,1,0,3577,3577.0,0,1,0,50000,-50000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH763XG0800YPCQ981DNE8M,8,2026-05-13T17:47:06.544532+00:00,2026-05-13T17:47:33.407858+00:00,hermes,hermes,showdown,200000,8,0,5645,3273.5,4,4,0,100000,-100000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH770V5Q8J214XYTQEKATKS,9,2026-05-13T17:47:36.165258+00:00,2026-05-13T17:47:42.770504+00:00,openclaw,openclaw,fold,200000,2,0,3909,3031.5,1,1,0,-100000,100000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH77A0Y682N360R9Y7E7EES,10,2026-05-13T17:47:45.567013+00:00,2026-05-13T17:47:56.717171+00:00,hermes,hermes,fold,200000,2,0,7527,5280.5,1,1,0,100000,-100000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH77QMG46SYGSMFYPG2HRVA,11,2026-05-13T17:47:59.504897+00:00,2026-05-13T17:48:28.207914+00:00,openclaw,hermes,showdown,400000,8,0,5563,3503.375,4,4,0,200000,-200000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH78PEGJFF2J19N4ES4P4G2,12,2026-05-13T17:48:31.056403+00:00,2026-05-13T17:48:33.538558+00:00,hermes,openclaw,fold,100000,1,0,2035,2035.0,1,0,0,-50000,50000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH78VM6HBXQP70YPQVZWPEC,13,2026-05-13T17:48:36.358627+00:00,2026-05-13T17:48:43.433183+00:00,openclaw,hermes,fold,100000,1,0,6496,6496.0,0,1,0,50000,-50000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH79575N9AQREE34RJBPWGD,14,2026-05-13T17:48:46.181285+00:00,2026-05-13T17:49:16.891486+00:00,hermes,openclaw,showdown,200000,8,0,6869,3760.0,4,4,0,-100000,100000
01KRH71MF1JV7D7QVCPN73GWJ7,01KRH7A5W2PWZ2Z8TB2Y0HH506,15,2026-05-13T17:49:19.618268+00:00,2026-05-13T17:49:23.499603+00:00,openclaw,hermes,fold,100000,1,0,3473,3473.0,0,1,0,50000,-50000
