match_id,hand_id,hand_number,started_at,ended_at,button_agent,winner,win_type,pot_final_micros,action_count,auto_action_count,max_decision_latency_ms,avg_decision_latency_ms,hermes_action_count,openclaw_action_count,error_count,hermes_settlement_delta_micros,openclaw_settlement_delta_micros
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH8ZNYW7NJJWJVP7QVVG8WN,1,2026-05-13T18:18:32.796200+00:00,2026-05-13T18:18:34.809261+00:00,openclaw,hermes,fold,100000,1,0,1586,1586.0,0,1,0,50000,-50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH8ZVXNZPVNNGK5AWF4BTBF,2,2026-05-13T18:18:38.901730+00:00,2026-05-13T18:18:41.934496+00:00,hermes,openclaw,fold,100000,1,0,2611,2611.0,1,0,0,-50000,50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH901K8E0QKWWG1XSNBCB8Y,3,2026-05-13T18:18:44.712748+00:00,2026-05-13T18:18:46.253836+00:00,openclaw,hermes,fold,100000,1,0,1129,1129.0,0,1,0,50000,-50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH905V1ABZT9ZFGZCASK467,4,2026-05-13T18:18:49.057074+00:00,2026-05-13T18:18:52.179913+00:00,hermes,openclaw,fold,100000,1,0,2687,2687.0,1,0,0,-50000,50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH90BQTPXECVWRPSN8BCXBD,5,2026-05-13T18:18:55.098738+00:00,2026-05-13T18:18:57.704822+00:00,openclaw,hermes,fold,100000,1,0,2187,2187.0,0,1,0,50000,-50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH90GZVH4A6JY2Z24V7YGEY,6,2026-05-13T18:19:00.475214+00:00,2026-05-13T18:19:03.277578+00:00,hermes,openclaw,fold,100000,1,0,2365,2365.0,1,0,0,-50000,50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH90PEEFNNK1Z3624N9RWTE,7,2026-05-13T18:19:06.062068+00:00,2026-05-13T18:19:08.337222+00:00,openclaw,hermes,fold,100000,1,0,1862,1862.0,0,1,0,50000,-50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH90VCE03AKHMC9FD9WA7PJ,8,2026-05-13T18:19:11.118394+00:00,2026-05-13T18:19:14.192840+00:00,hermes,openclaw,fold,100000,1,0,2649,2649.0,1,0,0,-50000,50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH9112ZVBQ56B9VS76Z93V7,9,2026-05-13T18:19:16.959974+00:00,2026-05-13T18:19:20.007410+00:00,openclaw,hermes,fold,100000,1,0,2637,2637.0,0,1,0,50000,-50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH916TR1SFTKKGEZ5KG2QK3,10,2026-05-13T18:19:22.840080+00:00,2026-05-13T18:19:41.711448+00:00,hermes,hermes,fold,200000,5,0,9153,3645.0,2,3,0,100000,-100000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH91VYXFWV3VZCEZE7J09Q9,11,2026-05-13T18:19:44.477389+00:00,2026-05-13T18:19:46.385461+00:00,openclaw,hermes,fold,100000,1,0,1492,1492.0,0,1,0,50000,-50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH920HTRY9ZVPVXNCP930HV,12,2026-05-13T18:19:49.178233+00:00,2026-05-13T18:20:11.518878+00:00,hermes,hermes,showdown,200000,8,0,6139,2720.0,4,4,0,100000,-100000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH92RZYDK7B6Q928G24H9G0,13,2026-05-13T18:20:14.206858+00:00,2026-05-13T18:20:16.854119+00:00,openclaw,hermes,fold,100000,1,0,2255,2255.0,0,1,0,50000,-50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH92Y5DMK36WRP2R4X2ESJK,14,2026-05-13T18:20:19.501518+00:00,2026-05-13T18:20:22.481670+00:00,hermes,openclaw,fold,100000,1,0,2583,2583.0,1,0,0,-50000,50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH933W94XVN8TPFHM60M6AE,15,2026-05-13T18:20:25.354010+00:00,2026-05-13T18:20:31.574149+00:00,openclaw,hermes,fold,200000,3,0,2618,1879.6666666666667,1,2,0,100000,-100000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH93ES88947XTYMAN0RCMCF,16,2026-05-13T18:20:36.520785+00:00,2026-05-13T18:20:57.366794+00:00,hermes,hermes,fold,200000,5,0,10875,4040.6,2,3,0,100000,-100000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH945WWEAJGHFEPSH0TCQD6,17,2026-05-13T18:21:00.188454+00:00,2026-05-13T18:21:02.186583+00:00,openclaw,hermes,fold,100000,1,0,1542,1542.0,0,1,0,50000,-50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH94AHNDHFVAM8FHETZC52V,18,2026-05-13T18:21:04.949759+00:00,2026-05-13T18:21:17.410110+00:00,hermes,hermes,fold,200000,5,0,3079,2378.2,2,3,0,100000,-100000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH94SAN9Z7KFVG79BR8AKD9,19,2026-05-13T18:21:20.085815+00:00,2026-05-13T18:21:22.397843+00:00,openclaw,hermes,fold,100000,1,0,1310,1310.0,0,1,0,50000,-50000
01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH94Y57J0NA9HRN3CBTEGZM,20,2026-05-13T18:21:25.031138+00:00,2026-05-13T18:21:46.450286+00:00,hermes,hermes,fold,200000,5,0,11295,4162.2,2,3,0,100000,-100000
