snapshot_id,match_id,hand_id,agent_name,snapshot_type,limit_micros,usage_micros,limit_remaining_micros,timestamp,hand_number
01KRH8ZMQ0YHDTRBB84C8RWYTN,01KRH8ZMCZ1N5Q10H4MRFXYXKE,,hermes,match_start,5000000,0,5000000,2026-05-13T18:18:31.520166+00:00,
01KRH8ZMXFKYHMKKMWQPVCJE9N,01KRH8ZMCZ1N5Q10H4MRFXYXKE,,openclaw,match_start,5000000,0,5000000,2026-05-13T18:18:31.728017+00:00,
01KRH8ZNYY7DJFSQJP2KVHWVW6,01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH8ZNYW7NJJWJVP7QVVG8WN,hermes,hand_start,5000000,0,5000000,2026-05-13T18:18:32.798853+00:00,1
01KRH8ZNYZ1VSGK9RTVFC6VAME,01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH8ZNYW7NJJWJVP7QVVG8WN,openclaw,hand_start,5000000,0,5000000,2026-05-13T18:18:32.799114+00:00,1
01KRH8ZTHQ4GGSEPAAZM8MHX44,01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH8ZNYW7NJJWJVP7QVVG8WN,hermes,hand_end,5050000,0,5050000,2026-05-13T18:18:37.495227+00:00,1
01KRH8ZTHS4HK7NC4GWNG8TT92,01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH8ZNYW7NJJWJVP7QVVG8WN,openclaw,hand_end,4950000,0,4950000,2026-05-13T18:18:37.497916+00:00,1
01KRH8ZVXQMA01DCKG9566N9MW,01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH8ZVXNZPVNNGK5AWF4BTBF,hermes,hand_start,5050000,0,5050000,2026-05-13T18:18:38.904008+00:00,2
01KRH8ZVXRWKGVDASPK217X61W,01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH8ZVXNZPVNNGK5AWF4BTBF,openclaw,hand_start,4950000,0,4950000,2026-05-13T18:18:38.904601+00:00,2
01KRH90079GKA9F4JQRNPVMH9M,01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH8ZVXNZPVNNGK5AWF4BTBF,hermes,hand_end,5000000,0,5000000,2026-05-13T18:18:43.306008+00:00,2
01KRH9007DV95RQYVS4ADB0FE1,01KRH8ZMCZ1N5Q10H4MRFXYXKE,01KRH8ZVXNZPVNNGK5AWF4BTBF,openclaw,hand_end,5000000,0,5000000,2026-05-13T18:18:43.309442+00:00,2
