action_id,hand_id,sequence,street,agent_name,action_type,amount_micros,stack_before_micros,stack_after_micros,pot_before_micros,pot_after_micros,to_call_micros,decision_latency_ms,was_auto_action,auto_action_reason,reasoning_text,timestamp,match_id,hand_number
01KRH9HSJD0XJ5PQJV94YBSJ2N,01KRH9HQHMYJ6PW1S2F1E0J28B,2,preflop,openclaw,raise,200000,4950000,4800000,150000,300000,50000,2064,0,,,2026-05-13T18:28:26.317997+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,1
01KRH9HVQY10HK14VRK5876KFB,01KRH9HQHMYJ6PW1S2F1E0J28B,3,preflop,hermes,call,100000,4900000,4800000,300000,400000,100000,2202,0,,,2026-05-13T18:28:28.542526+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,1
01KRH9HXP676PQADYH3YMHSSWF,01KRH9HQHMYJ6PW1S2F1E0J28B,4,flop,hermes,check,0,4800000,4800000,400000,400000,0,1982,0,,,2026-05-13T18:28:30.534896+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,1
01KRH9J06D7NFQ8B7F3JNVVRC0,01KRH9HQHMYJ6PW1S2F1E0J28B,5,flop,openclaw,check,0,4800000,4800000,400000,400000,0,2546,0,,,2026-05-13T18:28:33.101951+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,1
01KRH9J1YNKNZCN4N15WDM74VW,01KRH9HQHMYJ6PW1S2F1E0J28B,6,turn,hermes,check,0,4800000,4800000,400000,400000,0,1788,0,,,2026-05-13T18:28:34.901295+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,1
01KRH9J4BY2FGRH48DJ95K2FE7,01KRH9HQHMYJ6PW1S2F1E0J28B,7,turn,openclaw,check,0,4800000,4800000,400000,400000,0,2458,0,,,2026-05-13T18:28:37.374302+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,1
01KRH9J5SBD2A0PSR4VJV5K08H,01KRH9HQHMYJ6PW1S2F1E0J28B,8,river,hermes,check,0,4800000,4800000,400000,400000,0,1436,0,,,2026-05-13T18:28:38.827473+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,1
01KRH9J8CXA1VJF4V4W0ADGZT7,01KRH9HQHMYJ6PW1S2F1E0J28B,9,river,openclaw,check,0,4800000,5200000,400000,0,0,2654,0,,,2026-05-13T18:28:41.501615+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,1
01KRH9JDDAFE9DJ43N8HBYYSSD,01KRH9JBGEMBGGAW98RHRBVRNH,2,preflop,hermes,fold,0,4749074,4749074,150000,0,50000,1936,0,,,2026-05-13T18:28:46.634971+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,2
01KRH9JK1X55A4422D67YR4C90,01KRH9JGCZAW0QDHX63N37BAPA,2,preflop,openclaw,fold,0,5196735,5196735,150000,0,50000,2704,0,,,2026-05-13T18:28:52.413057+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,3
01KRH9JQZC7VYYBMNSFRW5PXQM,01KRH9JP0Y12WY5M0AEGXKF5CR,2,preflop,hermes,fold,0,4748664,4748664,150000,0,50000,1982,0,,,2026-05-13T18:28:57.452524+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,4
01KRH9JXK91J66M6K09M7Q5S3K,01KRH9JTXCHPB9619J3Q65EKGR,2,preflop,openclaw,raise,200000,5193500,5043500,150000,300000,50000,2733,0,,,2026-05-13T18:29:03.209756+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,5
01KRH9JYZB45YXMVNSFZK6JQC7,01KRH9JTXCHPB9619J3Q65EKGR,3,preflop,hermes,fold,0,4648664,4648664,300000,0,100000,1392,0,,,2026-05-13T18:29:04.619280+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,5
01KRH9K3H138YX9P6P7S8BYAQQ,01KRH9K1Y2BMEH5PKHMPGGKQ9S,2,preflop,hermes,raise,200000,4598440,4448440,150000,300000,50000,1615,0,,,2026-05-13T18:29:09.281560+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,6
01KRH9K6VKYWZAA4QBBCEN1TEW,01KRH9K1Y2BMEH5PKHMPGGKQ9S,3,preflop,openclaw,call,100000,5243500,5143500,300000,400000,100000,3395,0,,,2026-05-13T18:29:12.691097+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,6
01KRH9K9DYWJ0BWREPY9X08A54,01KRH9K1Y2BMEH5PKHMPGGKQ9S,4,flop,openclaw,check,0,5143500,5143500,400000,400000,0,2618,0,,,2026-05-13T18:29:15.326681+00:00,01KRH9HP113V6RDN7YBRWKM9SQ,6
