settlement_id,match_id,hand_id,agent_name,limit_before_micros,limit_delta_micros,limit_after_micros,reason,status,timestamp,hand_number
01KRH9V04XN4PS4FBYJ71EQZQM,01KRH9TWVP46N1W1Q3HPGJFXKN,01KRH9TYDZEC0BP36BJT861RTJ,hermes,5000000,50000,5050000,hand_win,confirmed,2026-05-13T18:33:27.965516+00:00,1
01KRH9V04ZN5BWQAYN8R47WCXC,01KRH9TWVP46N1W1Q3HPGJFXKN,01KRH9TYDZEC0BP36BJT861RTJ,openclaw,5000000,-50000,4950000,hand_loss,confirmed,2026-05-13T18:33:27.967413+00:00,1
01KRH9W1B728BFN1E0NA0JPY92,01KRH9TWVP46N1W1Q3HPGJFXKN,01KRH9V2RATZK7PTZBHFZBY185,hermes,5050000,1350000,6400000,hand_win,confirmed,2026-05-13T18:34:01.959689+00:00,2
01KRH9W1B7467PS315Q83BE0S7,01KRH9TWVP46N1W1Q3HPGJFXKN,01KRH9V2RATZK7PTZBHFZBY185,openclaw,4950000,-1350000,3600000,hand_loss,confirmed,2026-05-13T18:34:01.959182+00:00,2
01KRH9WHJD5XF8DGNRXZGXEW0C,01KRH9TWVP46N1W1Q3HPGJFXKN,01KRH9W3YFJZZS2B0RYK7SHEBY,hermes,6400000,200000,6600000,hand_win,confirmed,2026-05-13T18:34:18.573969+00:00,3
01KRH9WHJECKDWWKF85GKWZFWA,01KRH9TWVP46N1W1Q3HPGJFXKN,01KRH9W3YFJZZS2B0RYK7SHEBY,openclaw,3600000,-200000,3400000,hand_loss,confirmed,2026-05-13T18:34:18.574821+00:00,3
01KRH9XAWGAJS05ANVK5977H2K,01KRH9TWVP46N1W1Q3HPGJFXKN,01KRH9WM7XBQEKS6YMB3GES805,hermes,6600000,100000,6700000,hand_win,confirmed,2026-05-13T18:34:44.497016+00:00,4
01KRH9XAWG8YRY8HNTFRXQZWTW,01KRH9TWVP46N1W1Q3HPGJFXKN,01KRH9WM7XBQEKS6YMB3GES805,openclaw,3400000,-100000,3300000,hand_loss,confirmed,2026-05-13T18:34:44.496045+00:00,4
01KRH9XFNFY8Q4HPBFF8RQBR9F,01KRH9TWVP46N1W1Q3HPGJFXKN,01KRH9XDRN2NFPQSMCMQA6FVKP,hermes,6700000,50000,6750000,hand_win,confirmed,2026-05-13T18:34:49.391224+00:00,5
01KRH9XFNGQWXATA1JQTHRZ64A,01KRH9TWVP46N1W1Q3HPGJFXKN,01KRH9XDRN2NFPQSMCMQA6FVKP,openclaw,3300000,-50000,3250000,hand_loss,confirmed,2026-05-13T18:34:49.392032+00:00,5
01KRH9Y6T6BRQ1CP6ZFPFWBDWH,01KRH9TWVP46N1W1Q3HPGJFXKN,01KRH9XJE3C8K7EX0NZSKE849E,hermes,6750000,450000,7200000,hand_win,confirmed,2026-05-13T18:35:13.094328+00:00,6
