hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRHA7SPKYFX9N1VA71G9SW6Q,01KRHA7R67BFPA6ZKRAEPJ99D0,1,2026-05-13T18:40:27.347726+00:00,2026-05-13T18:40:29.747680+00:00,openclaw,01KRHA7R67BFPA6ZKRAEPJ99D0:1,Jh2h,Ts2d,,,,100000,hermes,fold,
01KRHA7YQA8JA2SJS6JFR5A0VG,01KRHA7R67BFPA6ZKRAEPJ99D0,2,2026-05-13T18:40:32.490534+00:00,2026-05-13T18:40:53.498001+00:00,hermes,01KRHA7R67BFPA6ZKRAEPJ99D0:2,AcJs,8cKh,7hKd6s,6c,,800000,openclaw,fold,
01KRHA8NZ7RBXK06RD8XDBEZ6Y,01KRHA7R67BFPA6ZKRAEPJ99D0,3,2026-05-13T18:40:56.296029+00:00,2026-05-13T18:41:01.211639+00:00,openclaw,01KRHA7R67BFPA6ZKRAEPJ99D0:3,4dJd,Kc6h,,,,200000,openclaw,fold,
01KRHA8XFDB6Y7HHVM7K5A2DXZ,01KRHA7R67BFPA6ZKRAEPJ99D0,4,2026-05-13T18:41:03.981838+00:00,2026-05-13T18:41:06.213148+00:00,hermes,01KRHA7R67BFPA6ZKRAEPJ99D0:4,Ks9h,Tc3h,,,,100000,openclaw,fold,
01KRHA92A22A3Y94P6T33RR3MQ,01KRHA7R67BFPA6ZKRAEPJ99D0,5,2026-05-13T18:41:08.930782+00:00,2026-05-13T18:41:32.272652+00:00,openclaw,01KRHA7R67BFPA6ZKRAEPJ99D0:5,KhTc,6cKs,Kd3dTs,7h,5h,8996960,hermes,showdown,
01KRHA9VWHCQ9V2QQKP9TQDEAY,01KRHA7R67BFPA6ZKRAEPJ99D0,6,2026-05-13T18:41:35.121875+00:00,2026-05-13T18:41:37.570195+00:00,hermes,01KRHA7R67BFPA6ZKRAEPJ99D0:6,3hTc,9c8c,,,,100000,openclaw,fold,
01KRHAA0ZMBE0AAQ16XM59FPEB,01KRHA7R67BFPA6ZKRAEPJ99D0,7,2026-05-13T18:41:40.340539+00:00,2026-05-13T18:41:42.964142+00:00,openclaw,01KRHA7R67BFPA6ZKRAEPJ99D0:7,Ah7c,Tc7d,,,,100000,hermes,fold,
01KRHAA670R6SBYZHT3MZYB18W,01KRHA7R67BFPA6ZKRAEPJ99D0,8,2026-05-13T18:41:45.696514+00:00,2026-05-13T18:41:48.610322+00:00,hermes,01KRHA7R67BFPA6ZKRAEPJ99D0:8,2c2s,8h6h,,,,100000,openclaw,fold,
01KRHAABQ9FKQDZPHTH3YMSEP5,01KRHA7R67BFPA6ZKRAEPJ99D0,9,2026-05-13T18:41:51.337583+00:00,2026-05-13T18:41:54.074881+00:00,openclaw,01KRHA7R67BFPA6ZKRAEPJ99D0:9,TcKd,7s4c,,,,100000,hermes,fold,
01KRHAAH2JSP3TZRV1AD68ZK7C,01KRHA7R67BFPA6ZKRAEPJ99D0,10,2026-05-13T18:41:56.818052+00:00,2026-05-13T18:42:01.810999+00:00,hermes,01KRHA7R67BFPA6ZKRAEPJ99D0:10,8s8c,Tc2s,,,,200000,hermes,fold,
01KRHAARN9WEEYT7YGHYG17ASA,01KRHA7R67BFPA6ZKRAEPJ99D0,11,2026-05-13T18:42:04.585408+00:00,2026-05-13T18:42:07.558027+00:00,openclaw,01KRHA7R67BFPA6ZKRAEPJ99D0:11,JhKd,2hQc,,,,100000,hermes,fold,
01KRHAAYJBF94T9DVHX0E5VY9D,01KRHA7R67BFPA6ZKRAEPJ99D0,12,2026-05-13T18:42:10.635270+00:00,2026-05-13T18:42:12.579147+00:00,hermes,01KRHA7R67BFPA6ZKRAEPJ99D0:12,3sJd,AcQd,,,,100000,openclaw,fold,
01KRHAB35WA4GD02ADMPMVGJX7,01KRHA7R67BFPA6ZKRAEPJ99D0,13,2026-05-13T18:42:15.356938+00:00,2026-05-13T18:42:17.950440+00:00,openclaw,01KRHA7R67BFPA6ZKRAEPJ99D0:13,As6s,Js3h,,,,100000,hermes,fold,
