settlement_id,match_id,hand_id,agent_name,limit_before_micros,limit_delta_micros,limit_after_micros,reason,status,timestamp,hand_number
01KRHCRVHG8THPQ6SSN7Y95ZVY,01KRHCRPWBSFP8NP661689YV9A,01KRHCRSBCCQ0790V8JDJP7XFH,hermes,5000000,50000,5050000,hand_win,confirmed,2026-05-13T19:24:43.440709+00:00,1
01KRHCRVHHMPMPTPJN67TTZ2VH,01KRHCRPWBSFP8NP661689YV9A,01KRHCRSBCCQ0790V8JDJP7XFH,openclaw,5000000,-50000,4950000,hand_loss,confirmed,2026-05-13T19:24:43.441525+00:00,1
01KRHCS28HB31ZKD74GFJHFCP9,01KRHCRPWBSFP8NP661689YV9A,01KRHCRY6GSQWK97J82M8YBFDA,hermes,5050000,-50000,5000000,hand_loss,confirmed,2026-05-13T19:24:50.321603+00:00,2
01KRHCS28G78DE39K32XY188H7,01KRHCRPWBSFP8NP661689YV9A,01KRHCRY6GSQWK97J82M8YBFDA,openclaw,4950000,50000,5000000,hand_win,confirmed,2026-05-13T19:24:50.320517+00:00,2
01KRHCS73VJNVX25SCJK8XCXT9,01KRHCRPWBSFP8NP661689YV9A,01KRHCS51Z9WT60HED7EXTQ250,hermes,5000000,50000,5050000,hand_win,confirmed,2026-05-13T19:24:55.291438+00:00,3
01KRHCS73WQG3KHNS6KX2Z64YV,01KRHCRPWBSFP8NP661689YV9A,01KRHCS51Z9WT60HED7EXTQ250,openclaw,5000000,-50000,4950000,hand_loss,confirmed,2026-05-13T19:24:55.292316+00:00,3
01KRHCSD9J3HYDWYTD24XP5N3X,01KRHCRPWBSFP8NP661689YV9A,01KRHCS9NJD3TA43MJB1PGXCD9,hermes,5050000,-50000,5000000,hand_loss,confirmed,2026-05-13T19:25:01.618685+00:00,4
01KRHCSD9H7HKQ7NF7ZS8DC0WJ,01KRHCRPWBSFP8NP661689YV9A,01KRHCS9NJD3TA43MJB1PGXCD9,openclaw,4950000,50000,5000000,hand_win,confirmed,2026-05-13T19:25:01.617380+00:00,4
01KRHCT4FSZH5JXCQJ8XQ5GX2D,01KRHCRPWBSFP8NP661689YV9A,01KRHCSFWFZ79H3NP3D3CWCS9S,hermes,5000000,-100000,4900000,hand_loss,confirmed,2026-05-13T19:25:25.369067+00:00,5
01KRHCT4FSA8846AHYNPJ1KBYS,01KRHCRPWBSFP8NP661689YV9A,01KRHCSFWFZ79H3NP3D3CWCS9S,openclaw,5000000,100000,5100000,hand_win,confirmed,2026-05-13T19:25:25.370000+00:00,5
01KRHCTEC8V6CHJTTKSMDRXVT6,01KRHCRPWBSFP8NP661689YV9A,01KRHCT7ESTK6DNARV8JTJ1NVM,hermes,4900000,-50000,4850000,hand_loss,confirmed,2026-05-13T19:25:35.496396+00:00,6
01KRHCTEC7GBSBB9C8S3SQKTCT,01KRHCRPWBSFP8NP661689YV9A,01KRHCT7ESTK6DNARV8JTJ1NVM,openclaw,5100000,50000,5150000,hand_win,confirmed,2026-05-13T19:25:35.495809+00:00,6
01KRHCW5XJ3XCGX7A5XW2JR0GQ,01KRHCRPWBSFP8NP661689YV9A,01KRHCTH0RG65MZ9ZV4ABACTSG,hermes,4850000,-2200000,2650000,hand_loss,confirmed,2026-05-13T19:26:32.370612+00:00,7
01KRHCW5XK2WSWM8DTEFQDB1NK,01KRHCRPWBSFP8NP661689YV9A,01KRHCTH0RG65MZ9ZV4ABACTSG,openclaw,5150000,2200000,7350000,hand_win,confirmed,2026-05-13T19:26:32.371687+00:00,7
01KRHCX8KFVPPNQWRRWV3K3WZR,01KRHCRPWBSFP8NP661689YV9A,01KRHCW8H7BK4GZNXNDMC2V5R0,hermes,2650000,-2624638,25362,hand_loss,confirmed,2026-05-13T19:27:07.887489+00:00,8
01KRHCX8KF0QRWC5F9BV1FQHHY,01KRHCRPWBSFP8NP661689YV9A,01KRHCW8H7BK4GZNXNDMC2V5R0,openclaw,7350000,2624638,9974638,hand_win,confirmed,2026-05-13T19:27:07.887156+00:00,8
