action_id,hand_id,sequence,street,agent_name,action_type,amount_micros,stack_before_micros,stack_after_micros,pot_before_micros,pot_after_micros,to_call_micros,decision_latency_ms,was_auto_action,auto_action_reason,reasoning_text,timestamp,match_id,hand_number
01KRHEK3J1VXWJG5QZGS45MM33,01KRHEJYY5Z7P8K98QN5J1Z48D,2,preflop,openclaw,raise,200000,4950000,4800000,150000,300000,50000,4720,0,,,2026-05-13T19:56:32.193918+00:00,01KRHEJWN7NGRR22J377DJHV74,1
01KRHEK5E7F3YMKH4399EXE5HN,01KRHEJYY5Z7P8K98QN5J1Z48D,3,preflop,hermes,raise,300000,4900000,4700000,300000,500000,100000,1906,0,,,2026-05-13T19:56:34.119067+00:00,01KRHEJWN7NGRR22J377DJHV74,1
01KRHEK9ZVHJP18XJCYZFVT8NW,01KRHEJYY5Z7P8K98QN5J1Z48D,4,preflop,openclaw,raise,400000,4800000,4600000,500000,700000,100000,4648,0,,,2026-05-13T19:56:38.779551+00:00,01KRHEJWN7NGRR22J377DJHV74,1
01KRHEKCRT069Q193MZZ2EQKNN,01KRHEJYY5Z7P8K98QN5J1Z48D,5,preflop,hermes,raise,500000,4700000,4500000,700000,900000,100000,2835,0,,,2026-05-13T19:56:41.626841+00:00,01KRHEJWN7NGRR22J377DJHV74,1
01KRHEKHDR3M1KHCRHDZCCSDR8,01KRHEJYY5Z7P8K98QN5J1Z48D,6,preflop,openclaw,call,100000,4600000,4500000,900000,1000000,100000,4753,0,,,2026-05-13T19:56:46.392936+00:00,01KRHEJWN7NGRR22J377DJHV74,1
01KRHEKKBSR2TXSSNVW2YKE5Q8,01KRHEJYY5Z7P8K98QN5J1Z48D,7,flop,hermes,raise,750000,4500000,3750000,1000000,1750000,0,1973,0,,,2026-05-13T19:56:48.377491+00:00,01KRHEJWN7NGRR22J377DJHV74,1
01KRHEKQ6AX0K33HJY6Q5PW718,01KRHEJYY5Z7P8K98QN5J1Z48D,8,flop,openclaw,fold,0,4500000,4500000,1750000,0,750000,3908,0,,,2026-05-13T19:56:52.298197+00:00,01KRHEJWN7NGRR22J377DJHV74,1
01KRHEM9F92GYR5REMFSYGY7S5,01KRHEKXWC6ZQWVSB85RGW2FVB,2,preflop,hermes,fold,0,5449337,5449337,150000,0,50000,11857,0,,,2026-05-13T19:57:11.017801+00:00,01KRHEJWN7NGRR22J377DJHV74,2
01KRHEMQ54GK34495918XDS57Q,01KRHEMGKW7NQ0NRY1HSDGC3PV,2,preflop,openclaw,fold,0,4488102,4488102,150000,0,50000,6687,0,,,2026-05-13T19:57:25.028697+00:00,01KRHEJWN7NGRR22J377DJHV74,3
01KRHEMZ13W1CATBJK13ZMJ177,01KRHEMWB41P4FRXTC0EYA74E0,2,preflop,hermes,raise,200000,5449079,5299079,150000,300000,50000,2737,0,,,2026-05-13T19:57:33.091134+00:00,01KRHEJWN7NGRR22J377DJHV74,4
01KRHEN9A6TS68R3Y4AWGAH7YC,01KRHEMWB41P4FRXTC0EYA74E0,3,preflop,openclaw,fold,0,4388102,4388102,300000,0,100000,10514,0,,repaired-action: no_json_object_found,2026-05-13T19:57:43.622114+00:00,01KRHEJWN7NGRR22J377DJHV74,4
01KRHENK19YKSYG0YXMRZV65DX,01KRHENFCF5FN4CR508J1WXG6X,2,preflop,openclaw,raise,200000,4332050,4182050,150000,300000,50000,3728,0,,,2026-05-13T19:57:53.577692+00:00,01KRHEJWN7NGRR22J377DJHV74,5
01KRHENNDCPCB0BJVBQES61SE8,01KRHENFCF5FN4CR508J1WXG6X,3,preflop,hermes,raise,300000,5498432,5298432,300000,500000,100000,2425,0,,,2026-05-13T19:57:56.012742+00:00,01KRHEJWN7NGRR22J377DJHV74,5
01KRHENRS38FQXY83BEGQQ5M6X,01KRHENFCF5FN4CR508J1WXG6X,4,preflop,openclaw,raise,400000,4182050,3982050,500000,700000,100000,3437,0,,,2026-05-13T19:57:59.459482+00:00,01KRHEJWN7NGRR22J377DJHV74,5
