snapshot_id,match_id,hand_id,agent_name,snapshot_type,limit_micros,usage_micros,limit_remaining_micros,timestamp,hand_number
01KRHEJXR0RXW9Z1QWGAHCMX62,01KRHEJWN7NGRR22J377DJHV74,,hermes,match_start,5000000,0,5000000,2026-05-13T19:56:26.240604+00:00,
01KRHEJXYBHZ4VGZ8617JZNTT7,01KRHEJWN7NGRR22J377DJHV74,,openclaw,match_start,5000000,0,5000000,2026-05-13T19:56:26.443522+00:00,
01KRHEJYY9KZGXHC0Y8TMGYKQ1,01KRHEJWN7NGRR22J377DJHV74,01KRHEJYY5Z7P8K98QN5J1Z48D,hermes,hand_start,5000000,0,5000000,2026-05-13T19:56:27.465787+00:00,1
01KRHEJYYAY499G11FD9Q8NTCZ,01KRHEJWN7NGRR22J377DJHV74,01KRHEJYY5Z7P8K98QN5J1Z48D,openclaw,hand_start,5000000,0,5000000,2026-05-13T19:56:27.466389+00:00,1
01KRHEKWG8R10A4M1FNG661DV5,01KRHEJWN7NGRR22J377DJHV74,01KRHEJYY5Z7P8K98QN5J1Z48D,hermes,hand_end,5500000,663,5499337,2026-05-13T19:56:57.736472+00:00,1
01KRHEKWGBVJ62QVDHW9QHSHJH,01KRHEJWN7NGRR22J377DJHV74,01KRHEJYY5Z7P8K98QN5J1Z48D,openclaw,hand_end,4500000,9302,4490698,2026-05-13T19:56:57.739166+00:00,1
01KRHEKXWGJKHD2XPQM8E9ZJ29,01KRHEJWN7NGRR22J377DJHV74,01KRHEKXWC6ZQWVSB85RGW2FVB,hermes,hand_start,5500000,663,5499337,2026-05-13T19:56:59.152080+00:00,2
01KRHEKXWG54BMMBGZ5ZN06GY5,01KRHEJWN7NGRR22J377DJHV74,01KRHEKXWC6ZQWVSB85RGW2FVB,openclaw,hand_start,4500000,11898,4488102,2026-05-13T19:56:59.152720+00:00,2
01KRHEMF79BZW99F3FPGNG04AX,01KRHEJWN7NGRR22J377DJHV74,01KRHEKXWC6ZQWVSB85RGW2FVB,hermes,hand_end,5450000,921,5449079,2026-05-13T19:57:16.905317+00:00,2
01KRHEMF7CFTSYWNGJXRTY5QNH,01KRHEJWN7NGRR22J377DJHV74,01KRHEKXWC6ZQWVSB85RGW2FVB,openclaw,hand_end,4550000,11898,4538102,2026-05-13T19:57:16.908691+00:00,2
